target,outcome,attributor,rho,ceiling_6seed,ratio,p_onesided,bar,focal,PASS,in_criterion
C1,neg_plain_loss,TracIn,0.08608695652173912,0.07869016790577228,1.0939988922736084,0.34458996293878885,0.03934508395288614,True,False,True
C1,neg_plain_loss,TRAK,-0.3069565217391304,0.07869016790577228,-3.9008243330564016,0.9277160659474132,0.03934508395288614,True,False,True
C1,neg_plain_loss,IF,-0.10173913043478258,0.07869016790577228,-1.2929077817779004,0.6819081088971573,0.03934508395288614,True,False,False
C1,neg_denoise_loss,TracIn,0.41739130434782606,0.3795970128223193,1.099564249055873,0.021212140781071923,0.18979850641115964,True,True,True
C1,neg_denoise_loss,TRAK,0.44,0.3795970128223193,1.159123979213066,0.015713857575089297,0.18979850641115964,True,True,True
C1,neg_denoise_loss,IF,0.3878260869565217,0.3795970128223193,1.0216784480810819,0.03056315504004058,0.18979850641115964,True,False,False
C1,logit_success,TracIn,0.08347826086956521,0.25281955621245017,0.3301890966038105,0.3490803003393712,0.12640977810622508,True,False,True
C1,logit_success,TRAK,0.03565217391304347,0.25281955621245017,0.14101826000787737,0.4343195231123073,0.12640977810622508,True,False,True
C1,logit_success,IF,-0.033913043478260865,0.25281955621245017,-0.134139320495298,0.5625016885216569,0.12640977810622508,True,False,False
C2,neg_plain_loss,TracIn,0.007826086956521738,0.3358657115982924,0.02330123822190585,0.48552415425604806,0.1679328557991462,False,False,True
C2,neg_plain_loss,TRAK,-0.39652173913043476,0.3358657115982924,-1.1805960699098965,0.9724657929574161,0.1679328557991462,False,False,True
C2,neg_plain_loss,IF,-0.31130434782608696,0.3358657115982924,-0.9268714759380328,0.9306622286650614,0.1679328557991462,False,False,False
C2,neg_denoise_loss,TracIn,0.3043478260869565,0.3118027011156782,0.9760910505199377,0.07409385429314208,0.1559013505578391,False,False,True
C2,neg_denoise_loss,TRAK,0.03043478260869565,0.3118027011156782,0.09760910505199377,0.44386696778798024,0.1559013505578391,False,False,True
C2,neg_denoise_loss,IF,0.4243478260869564,0.3118027011156782,1.3609498075820845,0.01938004881968357,0.1559013505578391,False,True,False
C2,logit_success,TracIn,-0.07304347826086956,0.721233461411917,-0.10127577569387389,0.6327664329115854,0.3606167307059585,False,False,True
C2,logit_success,TRAK,-0.4843478260869564,0.721233461411917,-0.6715548459700923,0.9917673545445035,0.3606167307059585,False,False,True
C2,logit_success,IF,-0.5130434782608695,0.721233461411917,-0.7113417578498284,0.9948230859190876,0.3606167307059585,False,False,False
C3,neg_plain_loss,TracIn,0.04,0.27844311377245506,0.14365591397849464,0.42639021971699514,0.13922155688622753,False,False,True
C3,neg_plain_loss,TRAK,-0.05739130434782608,0.27844311377245506,-0.2061150070126227,0.6050224293450798,0.13922155688622753,False,False,True
C3,neg_plain_loss,IF,-0.042608695652173914,0.27844311377245506,-0.15302477793361385,0.5783543120111561,0.13922155688622753,False,False,False
C3,neg_denoise_loss,TracIn,0.19826086956521738,0.3697193081939325,0.5362469991997866,0.17652471762120203,0.18485965409696625,False,False,True
C3,neg_denoise_loss,TRAK,-0.09478260869565217,0.3697193081939325,-0.25636369698586287,0.6702284606154314,0.18485965409696625,False,False,True
C3,neg_denoise_loss,IF,-0.023478260869565212,0.3697193081939325,-0.06350293411576419,0.5433567110364926,0.18485965409696625,False,False,False
C3,logit_success,TracIn,-0.02434782608695652,0.528874677790006,-0.04603704262926354,0.5449562899605231,0.264437338895003,False,False,True
C3,logit_success,TRAK,0.21130434782608692,0.528874677790006,0.3995357628182513,0.16080251772987597,0.264437338895003,False,False,True
C3,logit_success,IF,-0.023478260869565212,0.528874677790006,-0.04439286253536126,0.5433567110364926,0.264437338895003,False,False,False
C4,neg_plain_loss,TracIn,0.054782608695652164,0.5596192384769538,0.09789264723054766,0.399654121744132,0.2798096192384769,False,False,True
C4,neg_plain_loss,TRAK,-0.02695652173913043,0.5596192384769538,-0.048169397843602815,0.5497508655485589,0.2798096192384769,False,False,True
C4,neg_plain_loss,IF,0.1408695652173913,0.5596192384769538,0.2517239500214083,0.2557311409423375,0.2798096192384769,False,False,False
C4,neg_denoise_loss,TracIn,0.3278260869565217,0.26885443323799485,1.219344174497298,0.058925810544442965,0.13442721661899742,False,False,True
C4,neg_denoise_loss,TRAK,-0.09999999999999999,0.26885443323799485,-0.3719484882418813,0.6790033851966056,0.13442721661899742,False,False,True
C4,neg_denoise_loss,IF,0.1591304347826087,0.26885443323799485,0.5918832465066459,0.22882789100747314,0.13442721661899742,False,False,False
C4,logit_success,TracIn,-0.16655795131725631,0.6912938984232744,-0.2409365274265361,0.7816747697159494,0.3456469492116372,False,False,True
C4,logit_success,TRAK,-0.01217656040961665,0.6912938984232744,-0.017614158663036585,0.5225163482297581,0.3456469492116372,False,False,True
C4,logit_success,IF,-0.19656447518381162,0.6912938984232744,-0.2843428469890191,0.821366285427587,0.3456469492116372,False,False,False
C5,neg_plain_loss,TracIn,-0.040869565217391296,0.1373501781665047,-0.2975574241181296,0.5751924249837909,0.06867508908325234,True,False,True
C5,neg_plain_loss,TRAK,-0.23913043478260865,0.1373501781665047,-1.7410274815422475,0.8697860315985365,0.06867508908325234,True,False,True
C5,neg_plain_loss,IF,-0.005217391304347826,0.1373501781665047,-0.03798605414273995,0.5096516583732105,0.06867508908325234,True,False,False
C5,neg_denoise_loss,TracIn,0.11304347826086956,0.06070826306913995,1.862077294685991,0.29947021745279834,0.030354131534569975,True,False,True
C5,neg_denoise_loss,TRAK,-0.1660869565217391,0.06070826306913995,-2.7358212560386477,0.7810165491958804,0.030354131534569975,True,False,True
C5,neg_denoise_loss,IF,0.040869565217391296,0.06070826306913995,0.6732125603864735,0.42480757501620914,0.030354131534569975,True,False,False
C5,logit_success,TracIn,-0.1252173913043478,0.17182722610097279,-0.728740107989434,0.7200507321047585,0.08591361305048639,True,False,True
C5,logit_success,TRAK,0.13043478260869562,0.17182722610097279,0.7591042791556604,0.27176298760879264,0.08591361305048639,True,False,True
C5,logit_success,IF,0.054782608695652164,0.17182722610097279,0.3188237972453774,0.399654121744132,0.08591361305048639,True,False,False
C6,neg_plain_loss,TracIn,-0.017391304347826087,0.3108108108108108,-0.0559546313799622,0.5321427016410414,0.1554054054054054,False,False,True
C6,neg_plain_loss,TRAK,-0.10434782608695652,0.3108108108108108,-0.3357277882797732,0.6862457096379757,0.1554054054054054,False,False,True
C6,neg_plain_loss,IF,-0.09391304347826085,0.3108108108108108,-0.3021550094517958,0.6687573070803325,0.1554054054054054,False,False,False
C6,neg_denoise_loss,TracIn,0.46956521739130425,0.4381366290914029,1.0717323917086714,0.010304856852079401,0.21906831454570144,False,True,True
C6,neg_denoise_loss,TRAK,0.25130434782608696,0.4381366290914029,0.5735752985255669,0.11809969405803983,0.21906831454570144,False,False,True
C6,neg_denoise_loss,IF,0.1660869565217391,0.4381366290914029,0.37907571632658565,0.2189834508041196,0.21906831454570144,False,False,False
C6,logit_success,TracIn,-0.17652173913043476,0.42010000914651097,-0.42018980073116907,0.7953483576042496,0.21005000457325548,False,False,True
C6,logit_success,TRAK,-0.1408695652173913,0.42010000914651097,-0.3353238803864503,0.7442688590576625,0.21005000457325548,False,False,True
C6,logit_success,IF,-0.08608695652173912,0.42010000914651097,-0.2049201491250529,0.6554100370612111,0.21005000457325548,False,False,False
C7,neg_plain_loss,TracIn,0.27043478260869563,0.40687123363579697,0.6646692128910008,0.10060646851666996,0.20343561681789848,False,False,True
C7,neg_plain_loss,TRAK,-0.21826086956521737,0.40687123363579697,-0.536437210403991,0.8472228042077529,0.20343561681789848,False,False,True
C7,neg_plain_loss,IF,0.09565217391304347,0.40687123363579697,0.23509200455951793,0.32830283083616735,0.20343561681789848,False,False,False
C7,neg_denoise_loss,TracIn,0.4878260869565217,0.4761147551845226,1.0245977081039217,0.00779822035532411,0.2380573775922613,False,True,True
C7,neg_denoise_loss,TRAK,0.19565217391304346,0.4761147551845226,0.4109349096673483,0.17977398161711464,0.2380573775922613,False,False,True
C7,neg_denoise_loss,IF,0.21478260869565213,0.4761147551845226,0.45111521194593346,0.15675843075142185,0.2380573775922613,False,False,False
C7,logit_success,TracIn,-0.3121739130434782,0.2177743617531862,-1.4334741267536322,0.9312409852039282,0.1088871808765931,False,False,True
C7,logit_success,TRAK,-0.33999999999999997,0.2177743617531862,-1.561248979277633,0.9479810166509028,0.1088871808765931,False,False,True
C7,logit_success,IF,-0.11130434782608695,0.2177743617531862,-0.5110994100960026,0.6976949637977578,0.1088871808765931,False,False,False
C8,neg_plain_loss,TracIn,-0.041739130434782605,0.03351573187414502,-1.245359361135758,0.5767739433001391,0.01675786593707251,False,False,True
C8,neg_plain_loss,TRAK,-0.3478260869565217,0.03351573187414502,-10.377994676131316,0.9520934028381928,0.01675786593707251,False,False,True
