target,attributor,rho,ceiling_median,ratio,p_onesided,bar,focal,PASS
C1,TracIn,0.42,0.5680488108579256,0.7393730819815869,0.020509800007056437,0.2840244054289628,True,True
C1,TRAK,0.16869565217391302,0.5680488108579256,0.2969738672969521,0.21535113086049065,0.2840244054289628,True,False
C1,IF,0.2617391304347826,0.5680488108579256,0.46076873224939474,0.10832584897664314,0.2840244054289628,True,False
C2,TracIn,0.2843478260869565,0.6024184237710397,0.47201050775802333,0.08904749047656121,0.30120921188551986,False,False
C2,TRAK,-0.4530434782608695,0.6024184237710397,-0.752041206550245,0.9868989318478707,0.30120921188551986,False,False
C2,IF,-0.04869565217391304,0.6024184237710397,-0.08083360377507433,0.5893827634988733,0.30120921188551986,False,False
C3,TracIn,0.03043478260869565,0.6155420453861434,0.0494438728220478,0.44386696778798024,0.3077710226930717,False,False
C3,TRAK,0.07478260869565216,0.6155420453861434,0.12149065893417459,0.36418758077877716,0.3077710226930717,False,False
C3,IF,0.05826086956521739,0.6155420453861434,0.09464969940220579,0.3934218080773674,0.3077710226930717,False,False
C4,TracIn,0.1660869565217391,0.7053923224135988,0.23545330909393694,0.2189834508041196,0.3526961612067994,False,False
C4,TRAK,-0.02,0.7053923224135988,-0.028353016278327488,0.5369520989872645,0.3526961612067994,False,False
C4,IF,0.27391304347826084,0.7053923224135988,0.3883130490292677,0.097625940537208,0.3526961612067994,False,False
C5,TracIn,0.06,0.7175197948031672,0.08362138638483058,0.39031504777820597,0.3587598974015836,True,False
C5,TRAK,-0.20434782608695648,0.7175197948031672,-0.2847974753686259,0.830921375743412,0.3587598974015836,True,False
C5,IF,0.11913043478260868,0.7175197948031672,0.16603086861915636,0.28963795100406253,0.3587598974015836,True,False
C6,TracIn,0.29565217391304344,0.7721546017510142,0.38289245863793764,0.0803589466811215,0.3860773008755071,False,False
C6,TRAK,0.20173913043478262,0.7721546017510142,0.2612677953058869,0.17224651570369892,0.3860773008755071,False,False
C6,IF,0.014782608695652172,0.7721546017510142,0.019144622931896883,0.47267106288681715,0.3860773008755071,False,False
C7,TracIn,0.38956521739130434,0.704225352112676,0.5531826086956522,0.029937739687435298,0.352112676056338,False,False
C7,TRAK,0.08695652173913042,0.704225352112676,0.1234782608695652,0.3430976626492644,0.352112676056338,False,False
C7,IF,0.16,0.704225352112676,0.2272,0.227584860107713,0.352112676056338,False,False
C8,TracIn,0.15652173913043477,0.6526069127123609,0.23984076184528916,0.23257814893784542,0.32630345635618047,False,False
C8,TRAK,0.16086956521739126,0.6526069127123609,0.24650300522988047,0.22634537388283704,0.32630345635618047,False,False
C8,IF,0.25913043478260867,0.6526069127123609,0.39706970572164535,0.1107168553781794,0.32630345635618047,False,False
C9,TracIn,0.09913043478260869,0.7132867132867133,0.13897698209718667,0.3224528195153675,0.35664335664335667,False,False
C9,TRAK,-0.06782608695652173,0.7132867132867133,-0.09508951406649614,0.62358240681559,0.35664335664335667,False,False
C9,IF,0.04,0.7132867132867133,0.05607843137254902,0.42639021971699514,0.35664335664335667,False,False
