target,outcome,attributor,rho,ceiling_4seed,ratio,p_onesided,bar,focal,PASS,in_criterion
C1,neg_plain_loss,TracIn,-0.054782608695652164,0.03977272727272726,-1.3773913043478263,0.6003458782558679,0.01988636363636363,True,False,True
C1,neg_plain_loss,TRAK,-0.1226086956521739,0.03977272727272726,-3.082732919254659,0.7159163671489746,0.01988636363636363,True,False,True
C1,neg_plain_loss,IF,-0.042608695652173914,0.03977272727272726,-1.0713043478260873,0.5783543120111561,0.01988636363636363,True,False,False
C1,neg_denoise_loss,TracIn,0.46434782608695646,0.2632771205638057,1.7637226702136501,0.011129926756996847,0.13163856028190285,True,True,True
C1,neg_denoise_loss,TRAK,0.2869565217391304,0.2632771205638057,1.0899409759747276,0.0869871209518322,0.13163856028190285,True,False,True
C1,neg_denoise_loss,IF,0.3321739130434782,0.2632771205638057,1.2616892509768058,0.056386395147848385,0.13163856028190285,True,False,False
C1,logit_success,TracIn,-0.07652173913043478,-0.7319600448236504,,0.6388504483935906,-0.3659800224118252,True,False,True
C1,logit_success,TRAK,0.14956521739130432,-0.7319600448236504,,0.242732166127091,-0.3659800224118252,True,False,True
C1,logit_success,IF,-0.05565217391304347,-0.7319600448236504,,0.6019062502372243,-0.3659800224118252,True,False,False
C2,neg_plain_loss,TracIn,-0.1652173913043478,0.16830368993894346,-0.9816623234124261,0.7797985384358452,0.08415184496947173,False,False,True
C2,neg_plain_loss,TRAK,-0.10434782608695652,0.16830368993894346,-0.6199972568920586,0.6862457096379757,0.08415184496947173,False,False,True
C2,neg_plain_loss,IF,-0.21478260869565213,0.16830368993894346,-1.276161020436154,0.8432415692485782,0.08415184496947173,False,False,False
C2,neg_denoise_loss,TracIn,0.3695652173913043,0.10751508502468457,3.437333629103816,0.03775302257584289,0.053757542512342285,False,False,True
C2,neg_denoise_loss,TRAK,-0.02695652173913043,0.10751508502468457,-0.2507231588287489,0.5497508655485589,0.053757542512342285,False,False,True
C2,neg_denoise_loss,IF,0.36347826086956525,0.10751508502468457,3.380718722271518,0.040414351299443305,0.053757542512342285,False,False,False
C2,logit_success,TracIn,-0.09043478260869564,0.5362615125075568,-0.1686393308104901,0.6628486208719451,0.2681307562537784,False,False,True
C2,logit_success,TRAK,-0.42173913043478256,0.5362615125075568,-0.7864430331066125,0.9799481624986165,0.2681307562537784,False,False,True
C2,logit_success,IF,-0.4269565217391304,0.5362615125075568,-0.7961722252687561,0.9812738430623503,0.2681307562537784,False,False,False
C3,neg_plain_loss,TracIn,-0.1695652173913043,-0.014010507880910687,,0.7858523747982054,-0.007005253940455343,False,False,True
C3,neg_plain_loss,TRAK,0.004347826086956522,-0.014010507880910687,,0.4919567283675179,-0.007005253940455343,False,False,True
C3,neg_plain_loss,IF,-0.15826086956521737,-0.014010507880910687,,0.7699255436359469,-0.007005253940455343,False,False,False
C3,neg_denoise_loss,TracIn,0.19217391304347822,0.22164948453608244,0.8670171890798787,0.18416024437781375,0.11082474226804122,False,False,True
C3,neg_denoise_loss,TRAK,-0.27391304347826084,0.22164948453608244,-1.2357937310414562,0.902374059462792,0.11082474226804122,False,False,True
C3,neg_denoise_loss,IF,0.03826086956521739,0.22164948453608244,0.17261880687563197,0.42955879516094964,0.11082474226804122,False,False,False
C3,logit_success,TracIn,-0.09652173913043478,0.3776858421697772,-0.25556091426653577,0.6731634140026547,0.1888429210848886,False,False,True
C3,logit_success,TRAK,0.23913043478260865,0.3776858421697772,0.6331464092188948,0.13021396840146346,0.1888429210848886,False,False,True
C3,logit_success,IF,-0.11217391304347826,0.3776858421697772,-0.29700322468813617,0.6991137733663885,0.1888429210848886,False,False,False
C4,neg_plain_loss,TracIn,-0.01217391304347826,0.4012974976830398,-0.03033637915453359,0.5225114576751078,0.2006487488415199,False,False,True
C4,neg_plain_loss,TRAK,-0.04,0.4012974976830398,-0.09967667436489609,0.5736097802830049,0.2006487488415199,False,False,True
C4,neg_plain_loss,IF,-0.049565217391304345,0.4012974976830398,-0.12351240084345819,0.5909531051984646,0.2006487488415199,False,False,False
C4,neg_denoise_loss,TracIn,0.40347826086956523,0.14814814814814817,2.723478260869565,0.025282957823212927,0.07407407407407408,False,False,True
C4,neg_denoise_loss,TRAK,-0.17130434782608694,0.14814814814814817,-1.1563043478260868,0.7882484316077977,0.07407407407407408,False,False,True
C4,neg_denoise_loss,IF,0.17913043478260868,0.14814814814814817,1.2091304347826084,0.20115171591803,0.07407407407407408,False,False,False
C4,logit_success,TracIn,-0.07363851898986232,0.5671997826658486,-0.1298281861882246,0.6338094974632815,0.2835998913329243,False,False,True
C4,logit_success,TRAK,-0.000871461763193637,0.5671997826658486,-0.0015364282389139009,0.5016122603514596,0.2835998913329243,False,False,True
C4,logit_success,IF,-0.18039258498108285,0.5671997826658486,-0.31804064545517746,0.8005295732656117,0.2835998913329243,False,False,False
C5,neg_plain_loss,TracIn,-0.16173913043478258,0.08120133481646272,-1.9918284693269805,0.7748905575768146,0.04060066740823136,True,False,True
C5,neg_plain_loss,TRAK,-0.2052173913043478,0.08120133481646272,-2.5272662298987494,0.8319695551627235,0.04060066740823136,True,False,True
C5,neg_plain_loss,IF,-0.20173913043478262,0.08120133481646272,-2.4844312090530085,0.827753484296301,0.04060066740823136,True,False,False
C5,neg_denoise_loss,TracIn,0.33652173913043476,-0.19395866454689978,,0.0539281005963737,-0.09697933227344989,True,False,True
C5,neg_denoise_loss,TRAK,-0.19652173913043475,-0.19395866454689978,,0.8213129652420481,-0.09697933227344989,True,False,True
C5,neg_denoise_loss,IF,0.15826086956521737,-0.19395866454689978,,0.23007445636405308,-0.09697933227344989,True,False,False
C5,logit_success,TracIn,-0.12915851577343376,0.05388857462206792,-2.396769940182126,0.7262447830031753,0.02694428731103396,True,False,True
C5,logit_success,TRAK,0.2504892427121139,0.05388857462206792,4.648281096110789,0.1188867995770567,0.02694428731103396,True,False,True
C5,logit_success,IF,0.02304848934677437,0.05388857462206792,0.4277064203018608,0.45743410330143464,0.02694428731103396,True,False,False
C6,neg_plain_loss,TracIn,-0.08,-0.12700369913686807,,0.6449019739021205,-0.06350184956843404,False,False,True
C6,neg_plain_loss,TRAK,-0.0826086956521739,-0.12700369913686807,,0.6494185077764083,-0.06350184956843404,False,False,True
C6,neg_plain_loss,IF,-0.13652173913043478,-0.12700369913686807,,0.7376451902760786,-0.06350184956843404,False,False,False
C6,neg_denoise_loss,TracIn,0.5365217391304348,0.2619647355163728,2.0480685618729098,0.003437265296666415,0.1309823677581864,False,True,True
C6,neg_denoise_loss,TRAK,0.13826086956521738,0.2619647355163728,0.5277842809364548,0.25969557472957305,0.1309823677581864,False,False,True
C6,neg_denoise_loss,IF,0.19391304347826085,0.2619647355163728,0.7402257525083612,0.1819594279646856,0.1309823677581864,False,False,False
C6,logit_success,TracIn,-0.19826086956521738,0.2617463707028148,-0.7574541302439739,0.823475282378798,0.1308731853514074,False,False,True
C6,logit_success,TRAK,-0.07304347826086956,0.2617463707028148,-0.279062047984622,0.6327664329115854,0.1308731853514074,False,False,True
C6,logit_success,IF,-0.1408695652173913,0.2617463707028148,-0.538191092541771,0.7442688590576625,0.1308731853514074,False,False,False
C7,neg_plain_loss,TracIn,0.10086956521739131,0.11010682004930156,0.9161064243997405,0.319542965954539,0.05505341002465078,False,False,True
C7,neg_plain_loss,TRAK,-0.09999999999999999,0.11010682004930156,-0.9082089552238806,0.6790033851966056,0.05505341002465078,False,False,True
