ridge_rel,attributor,target,focal,demo_lds,demo_p1,demo_n,demo_ceiling,demo_ratio,demo_bar_half_ceiling,demo_PASS,cluster_lds,cluster_p1,cluster_n,cluster_ceiling,cluster_ratio
1e-06,IF,C1,True,-0.22608695652173913,0.8559502311671084,24,0.9327641408751334,-0.24238384240374092,0.4663820704375667,False,0.2679309049943672,0.04730874578892654,40,0.5079365079365079,0.5274889692076605
1e-06,IF,C2,False,0.2452173913043478,0.12406064953775087,24,0.9115002366303833,0.26902614113504,0.45575011831519163,False,-0.11799493100535059,0.7658170746702541,40,0.27450980392156865,-0.4298386772337771
1e-06,IF,C3,False,-0.4269565217391304,0.9812738430623503,24,0.6441876915821739,-0.6627827996689796,0.32209384579108696,False,0.15688667730729508,0.16682727227722577,40,0.8424242424242424,0.18623238673168122
1e-06,IF,C4,False,-0.03913043478260869,0.5720260324643314,24,0.7945492662473793,-0.04924859470001148,0.39727463312368966,False,0.030695578710222476,0.4254289131209866,40,0.27450980392156865,0.11181960815866758
1e-06,IF,C5,True,-0.07130434782608694,0.6297126564116028,24,0.9177998400225849,-0.07769052108827161,0.45889992001129243,False,0.5411621139585093,0.00015568665676871413,40,0.5636363636363636,0.9601263312167102
1e-06,IF,C6,False,-0.07652173913043478,0.6388504483935906,24,0.940385146963973,-0.0813727645289642,0.4701925734819865,False,0.5233267624143434,0.0002650970649163259,40,0.12380952380952381,4.226870004115851
1e-06,IF,C7,False,0.3930434782608695,0.028716544277635054,24,0.9151966795585321,0.42946340064352484,0.45759833977926606,False,-0.06205990047882827,0.6481839538421841,40,0.8431372549019609,-0.07360592847488934
1e-06,IF,C8,False,0.38608695652173913,0.03119857978382517,24,0.9097459233978006,0.4243898725918408,0.4548729616989003,False,0.4321126760563381,0.002681135157415817,40,0.8253968253968255,0.5235211267605634
1e-06,IF,C9,False,-0.3095652173913043,0.9294942664434477,24,0.8945496491396712,-0.3460570552892477,0.4472748245698356,False,-0.3593016707339966,0.9886067701618989,40,0.2380952380952381,-1.5090670170827856
1e-06,TRAK,C1,True,-0.25913043478260867,0.8892831446218206,24,0.9327641408751334,-0.2778091732165953,0.4663820704375667,False,0.2745024408561772,0.04325003940210579,40,0.5079365079365079,0.5404266804355989
1e-06,TRAK,C2,False,0.2539130434782608,0.11560368258372715,24,0.9115002366303833,0.27856607521784277,0.45575011831519163,False,-0.1914014831502863,0.8816192352293142,40,0.27450980392156865,-0.6972482600474714
1e-06,TRAK,C3,False,-0.4026086956521739,0.9744437487309274,24,0.6441876915821739,-0.6249866318670826,0.32209384579108696,False,0.062435452070228145,0.3509604567161637,40,0.8424242424242424,0.07411402583876003
1e-06,TRAK,C4,False,0.00608695652173913,0.4887401008238579,24,0.7945492662473793,0.007660892508890674,0.39727463312368966,False,0.02036984886886323,0.45035762749507097,40,0.27450980392156865,0.07420444945085891
1e-06,TRAK,C5,True,-0.08956521739130434,0.6613655265785513,24,0.9177998400225849,-0.09758687404990216,0.45889992001129243,False,0.5285834976063081,0.00022729969661512643,40,0.5636363636363636,0.9378094312369982
1e-06,TRAK,C6,False,-0.15826086956521737,0.7699255436359469,24,0.940385146963973,-0.16829367209399415,0.4701925734819865,False,0.5201351731906505,0.0002906971447499618,40,0.12380952380952381,4.201091783462946
1e-06,TRAK,C7,False,0.3947826086956522,0.028120567582619268,24,0.9151966795585321,0.4313636811773458,0.45759833977926606,False,-0.0682565017369261,0.6622061923206386,40,0.8431372549019609,-0.08095538578100536
1e-06,TRAK,C8,False,0.38956521739130434,0.029937739687435298,24,0.9097459233978006,0.42821320477735286,0.4548729616989003,False,0.3770892018779342,0.008229142974001917,40,0.8253968253968255,0.4568580715059587
1e-06,TRAK,C9,False,-0.2895652173913043,0.9150399065237451,24,0.8945496491396712,-0.32369943654865024,0.4472748245698356,False,-0.3846442650647644,0.9928704621974057,40,0.2380952380952381,-1.6155059132720104
1e-05,IF,C1,True,-0.15652173913043477,0.7674218510621545,24,0.9327641408751334,-0.16780419858720524,0.4663820704375667,False,0.2867067217423957,0.03643376960675982,40,0.5079365079365079,0.5644538584303416
