,C1,C2,C3,C4,C5,C6,C7,C8,C9
C1,4.3321720388292086e-07,6.468389466222986e-08,1.3431241939548394e-08,-1.7904924472762395e-06,5.123999123313228e-08,1.5506215711991348e-07,56.415285323621596,-9.051341248542281e-08,16.508100254811506
C2,6.744805607737388e-08,-1.1096378553213834e-07,3.024130144146404e-08,-2.9162061255893416e-06,-2.989426548273517e-08,1.1302364384020473e-07,33.72043745598754,-3.853809882671044e-08,23.149379757394
C3,1.5322370091492123e-08,-5.897781868098611e-08,2.0104968403564003e-07,5.233933651376657e-06,-1.1692176625920892e-07,5.280818701944391e-08,11.778128403816257,-4.341189696755712e-09,11.683050037045849
C4,-7.696200989605377e-08,-2.555926549148231e-08,1.4921473361039132e-08,4.845897940096397e-06,4.183812442616393e-08,-8.356614548520096e-08,112.52257772500772,5.942128694674557e-08,55.330174431631555
C5,2.31579611618661e-07,1.5308277233821352e-07,4.183172323058977e-08,5.374836975391437e-07,2.661608203792266e-07,-6.123647316953395e-08,35.48577513575633,-1.753861939039193e-09,20.326670469950116
C6,-8.392494455935308e-08,4.339926618841554e-08,-2.952578459313095e-08,-3.9470849957136663e-07,-4.3409742724597445e-08,1.0640493402017864e-08,65.98715420270841,-6.43677526698166e-08,26.12168045991653
C7,9.725824239703226e-08,-5.807428590223274e-08,6.024546922781171e-08,3.6954506835630715e-06,-5.854861152145213e-08,9.848825402331079e-08,83.02687795854285,1.8740326719678396e-08,26.81558636578104
C8,-1.0097428129290529e-07,-2.9475963583890317e-08,3.076127434090728e-09,7.909070470117871e-07,-4.2469052425573736e-08,-8.558257974985102e-08,84.5620787267584,7.603283820341571e-08,41.194675683503
C9,5.725214905684168e-08,2.3546861655004306e-08,1.815437025701868e-08,1.8137538533315862e-06,6.0076054519347985e-09,3.739326064458498e-09,66.278974247446,1.3598470462132675e-07,29.86036740127453
