target,attributor,intrusion_above_median,jackknife_se,licence,median_insider,median_outsider
C1,TRAK,0.19166666666666668,0.125,cluster-grain only,3.6765354832132326e-07,1.7066766585193426e-08
C2,TRAK,0.55,0.31588170254068215,cluster-grain only,-3.033739160834363e-08,1.0524562132412982e-08
C3,TRAK,0.03333333333333333,0.07483314773547882,cluster-grain only,4.884542531882986e-07,9.859656858073317e-09
C4,IF,0.15833333333333333,0.18479718612576332,cluster-grain only,5.468459259941078e-06,6.973340363049084e-07
C5,TRAK,0.1,0.08066132902450837,cluster-grain only,2.4653934755822197e-07,-2.4193127089132008e-08
C6,TRAK,0.5666666666666667,0.27221315177632394,cluster-grain only,-6.517359897547699e-09,6.53198366141519e-08
C7,TracIn,0.35833333333333334,0.07941190087134294,cluster-grain only,69.53260990081003,44.313578695480146
C8,TRAK,0.7333333333333333,0.456515333805996,cluster-grain only,-1.5430789727344532e-07,3.845234785299117e-08
C9,TracIn,0.38333333333333336,0.11316470297756276,cluster-grain only,28.60183301432358,23.910488583720856
