target,attributor,spearman_influence_vs_dtw
C1,TRAK,-0.08960589210808703
C2,TRAK,0.07423178226514487
C3,TRAK,-0.07188079211784217
C4,IF,0.03659642961662277
C5,TRAK,-0.06136474490293631
C6,TRAK,0.0337089064481514
C7,TracIn,-0.288664520534582
C8,TRAK,-0.020080967710467273
C9,TracIn,-0.06242805579943421
