grain,target,attributor,functional,outcome,lds_conditional,n_cond,p_onesided,ci_lo,ci_hi,lds_full72_INFLATED,n_full,ceiling,bonferroni_sig
cluster,C1,TracIn,plain,logit_success,-0.3695698354417943,40,0.9905378347327043,-0.6468829935046552,-0.035125199395338515,-0.26674009151146244,72,0.4645002164288264,False
cluster,C1,TRAK,plain,logit_success,0.49849610627912244,40,0.000530658125853806,0.22141732287086222,0.7024649243006368,0.82703346409413,72,0.4645002164288264,True
cluster,C1,IF,plain,logit_success,-0.0015986481431324437,40,0.5039056311079904,-0.3358283584794495,0.3409673642267953,0.145485448793201,72,0.4645002164288264,False
cluster,C2,TracIn,plain,logit_success,-0.35026765547343136,40,0.9866460669478441,-0.604619987945912,-0.03540377989650674,-0.3642479823441005,72,0.0784313725490196,False
cluster,C2,TRAK,plain,logit_success,-0.03559019877330576,40,0.5862945871441314,-0.35327631942456317,0.29756586868080986,-0.4430479896186528,72,0.0784313725490196,False
cluster,C2,IF,plain,logit_success,-0.12555170385200476,40,0.7799253565303417,-0.4217737778195597,0.19471386301217056,-0.36869311095958807,72,0.0784313725490196,False
cluster,C3,TracIn,plain,logit_success,0.45763672152302726,40,0.0014932589296168372,0.14987381989869142,0.6808247529523853,0.4086968409054292,72,0.5272727272727272,True
cluster,C3,TRAK,plain,logit_success,-0.2024234677508464,40,0.8948349385887631,-0.5276850240828289,0.1734783196504949,0.7396180263995953,72,0.5272727272727272,False
cluster,C3,IF,plain,logit_success,0.30480935167122813,40,0.027909852398768205,0.012288208941194784,0.538003704160196,0.7992420999677446,72,0.5272727272727272,False
cluster,C4,TracIn,plain,logit_success,-0.026340607283020866,40,0.564086338159339,-0.38835611358342886,0.3368043812373824,0.6732150938084566,72,0.3797315473507341,False
cluster,C4,TRAK,plain,logit_success,0.2468491196808813,40,0.062320932917425985,-0.1073718518946344,0.5473384454400498,0.06212749438364721,72,0.3797315473507341,False
cluster,C4,IF,plain,logit_success,-0.10141133803963033,40,0.7332433650554561,-0.41160788415296323,0.2343230837848754,0.35315560385339023,72,0.3797315473507341,False
cluster,C5,TracIn,plain,logit_success,-0.30493839166010533,40,0.9721446038855917,-0.5840618399300979,0.005504014560286558,0.06166747594911291,72,0.4545035461247888,False
cluster,C5,TRAK,plain,logit_success,0.23051275030577453,40,0.07621295746330103,-0.1125866742285033,0.5229700390144598,0.8172877144288085,72,0.4545035461247888,False
cluster,C5,IF,plain,logit_success,0.13654098091899325,40,0.2004198765557541,-0.20473720233845996,0.4487880668883572,0.4538840740733043,72,0.4545035461247888,False
cluster,C6,TracIn,plain,logit_success,0.06656652074918613,40,0.34159762821664,-0.26938256732960536,0.4061416786861637,0.10393966858135441,72,0.5619047619047619,False
cluster,C6,TRAK,plain,logit_success,-0.00798047145794192,40,0.5194898101235197,-0.38377422525907245,0.34013979540230854,0.012892876143440334,72,0.5619047619047619,False
cluster,C6,IF,plain,logit_success,0.5922448700787957,40,2.8390792271747964e-05,0.3161075026040119,0.7865803644275623,-0.3828355038456362,72,0.5619047619047619,True
cluster,C7,TracIn,plain,logit_success,0.07372969431759324,40,0.3255850769731032,-0.3229725519890225,0.42405445788764173,0.3465321941517682,72,0.11679208674433755,False
cluster,C7,TRAK,plain,logit_success,-0.342537828250016,40,0.9847536826450003,-0.59906560905894,-0.04787649637897139,0.030019216630867627,72,0.11679208674433755,False
cluster,C7,IF,plain,logit_success,-0.03972950407177317,40,0.5961520907785876,-0.3342129126954343,0.27459398950747227,0.3155682599058217,72,0.11679208674433755,False
cluster,C8,TracIn,plain,logit_success,0.34078317363139377,40,0.015705314952518055,0.04402086750681576,0.6131667503123297,0.470418355214069,72,-0.09466437177280555,False
cluster,C8,TRAK,plain,logit_success,-0.3405953625684942,40,0.9842448889558623,-0.5629797765730852,-0.07571303356016401,0.20686430924477237,72,-0.09466437177280555,False
cluster,C8,IF,plain,logit_success,0.14114001376907823,40,0.19250500529828563,-0.14484878304961935,0.42255821058437887,0.5684110896753871,72,-0.09466437177280555,False
cluster,C9,TracIn,plain,logit_success,0.1248063273957273,40,0.22144506818724016,-0.20313522202546613,0.4108062634032295,0.08904618563445,72,0.3831770380787482,False
cluster,C9,TRAK,plain,logit_success,0.23505661209293116,40,0.07214042558290196,-0.08211429701692953,0.5097879575516279,0.7909131297829792,72,0.3831770380787482,False
cluster,C9,IF,plain,logit_success,-0.09297085336476302,40,0.7158618885313606,-0.3979820986183761,0.21159074864583582,0.41692916844031813,72,0.3831770380787482,False
