target,verdict_target,estimator,family,rho,ceiling_median_SB,bar,ratio,p_onesided,ceiling_usable,PASS
C1,True,TracIn_diffE5_normalized,CHAMPION,0.47913043478260864,0.82979067062928,0.41489533531464,0.5774112095274044,0.008921139192505636,True,True
C1,True,TracIn_diffE5_unnormalized,descriptive,0.5052173913043477,0.82979067062928,0.41489533531464,0.6088492064163737,0.005897722675200796,True,
C1,True,TRAK_diffE5_normalized,descriptive,0.2452173913043478,0.82979067062928,0.41489533531464,0.29551717075631223,0.12406064953775087,True,
C1,True,IF_diffE5_normalized,descriptive,0.32695652173913037,0.82979067062928,0.41489533531464,0.39402289434174964,0.059443542429202474,True,
C2,False,TracIn_diffE5_normalized,CHAMPION,0.40956521739130425,0.8040360687534821,0.40201803437674105,0.5093866224512338,0.023433084632456577,True,
C2,False,TracIn_diffE5_unnormalized,descriptive,0.4208695652173913,0.8040360687534821,0.40201803437674105,0.5234461258309919,0.02027980036111722,True,
C2,False,TRAK_diffE5_normalized,descriptive,-0.2669565217391304,0.8040360687534821,0.40201803437674105,-0.33202057981428623,0.8963518898185907,True,
C2,False,IF_diffE5_normalized,descriptive,0.2052173913043478,0.8040360687534821,0.40201803437674105,0.2552340613556076,0.16803044483727642,True,
C3,False,TracIn_diffE5_normalized,CHAMPION,-0.013043478260869565,0.75634060303319,0.378170301516595,-0.017245508450241413,0.5241176565998498,True,
C3,False,TracIn_diffE5_unnormalized,descriptive,0.008695652173913044,0.75634060303319,0.378170301516595,0.011497005633494277,0.48391649708513457,True,
C3,False,TRAK_diffE5_normalized,descriptive,-0.42956521739130427,0.75634060303319,0.378170301516595,-0.5679520782946171,0.9819101623323544,True,
C3,False,IF_diffE5_normalized,descriptive,-0.27999999999999997,0.75634060303319,0.378170301516595,-0.37020358139851567,0.9074439731743369,True,
C4,False,TracIn_diffE5_normalized,CHAMPION,0.2078260869565217,0.8725753367101607,0.43628766835508037,0.23817552274635778,0.16490930890275887,True,
C4,False,TracIn_diffE5_unnormalized,descriptive,0.21652173913043476,0.8725753367101607,0.43628766835508037,0.24814102579013847,0.15475994878115024,True,
C4,False,TRAK_diffE5_normalized,descriptive,-0.16086956521739126,0.8725753367101607,0.43628766835508037,-0.1843618063099422,0.773654626117163,True,
C4,False,IF_diffE5_normalized,descriptive,0.2782608695652174,0.8725753367101607,0.43628766835508037,0.3188960974009812,0.09398569726107155,True,
C5,False,TracIn_diffE5_normalized,CHAMPION,0.11739130434782606,0.8444377100886411,0.42221885504432055,0.139017126953631,0.29243275718003164,True,
C5,False,TracIn_diffE5_unnormalized,descriptive,0.10173913043478258,0.8444377100886411,0.42221885504432055,0.12048151002648019,0.31809189110284275,True,
C5,False,TRAK_diffE5_normalized,descriptive,-0.46086956521739125,0.8444377100886411,0.42221885504432055,-0.5457709428549958,0.9882909650933758,True,
C5,False,IF_diffE5_normalized,descriptive,0.0,0.8444377100886411,0.42221885504432055,0.0,0.5,True,
C6,False,TracIn_diffE5_normalized,CHAMPION,0.36173913043478256,0.9002940897448058,0.4501470448724029,0.4018010720667064,0.04120012080471129,True,
C6,False,TracIn_diffE5_unnormalized,descriptive,0.3539130434782608,0.9002940897448058,0.4501470448724029,0.39310826041141705,0.044879228044911346,True,
C6,False,TRAK_diffE5_normalized,descriptive,0.1826086956521739,0.9002940897448058,0.4501470448724029,0.20283227195675085,0.19653749655614708,True,
C6,False,IF_diffE5_normalized,descriptive,0.07652173913043478,0.9002940897448058,0.4501470448724029,0.08499638062949559,0.3611495516064094,True,
C7,False,TracIn_diffE5_normalized,CHAMPION,0.44434782608695644,0.8571158146303374,0.4285579073151687,0.518422153111943,0.014800473665558403,True,
C7,False,TracIn_diffE5_unnormalized,descriptive,0.44,0.8571158146303374,0.4285579073151687,0.5133495293045854,0.015713857575089297,True,
C7,False,TRAK_diffE5_normalized,descriptive,0.009565217391304347,0.8571158146303374,0.4285579073151687,0.01115977237618664,0.4823090830379638,True,
C7,False,IF_diffE5_normalized,descriptive,0.11826086956521738,0.8571158146303374,0.4285579073151687,0.1379753675601257,0.2910338966841287,True,
C8,False,TracIn_diffE5_normalized,CHAMPION,0.3017391304347826,0.8773968622893666,0.4386984311446833,0.34390267780017275,0.07593572655787045,False,
C8,False,TracIn_diffE5_unnormalized,descriptive,0.3069565217391304,0.8773968622893666,0.4386984311446833,0.3498491217967175,0.07228393405258686,False,
C8,False,TRAK_diffE5_normalized,descriptive,0.17130434782608694,0.8773968622893666,0.4386984311446833,0.1952415778865534,0.21175156839220233,False,
C8,False,IF_diffE5_normalized,descriptive,0.31913043478260866,0.8773968622893666,0.4386984311446833,0.3637241577886553,0.0642531394407114,False,
C9,False,TracIn_diffE5_normalized,CHAMPION,0.09999999999999999,0.7644478173190479,0.38222390865952394,0.1308133763148208,0.32099661480339436,True,
C9,False,TracIn_diffE5_unnormalized,descriptive,0.11565217391304347,0.7644478173190479,0.38222390865952394,0.15128851347714056,0.29523915844342064,True,
C9,False,TRAK_diffE5_normalized,descriptive,-0.03913043478260869,0.7644478173190479,0.38222390865952394,-0.05118784290579944,0.5720260324643314,True,
C9,False,IF_diffE5_normalized,descriptive,-0.02695652173913043,0.7644478173190479,0.38222390865952394,-0.03526273622399517,0.5497508655485589,True,
