target,estimator,family,rho,ceiling,bar,ratio,p_onesided,alpha,meets_half_ceiling,p_lt_alpha,PASS
C2,GradDot_E20_normalized,PRIMARY,0.3678260869565217,0.927024325224925,0.4635121626124625,0.39678148344950454,0.03849943540091518,0.0071428571428571435,False,False,False
C2,GradDot_E20_dmean,SECONDARY,0.29217391304347823,0.927024325224925,0.4635121626124625,0.3151739443003157,0.08296621813284714,0.0035714285714285718,False,False,False
C3,GradDot_E20_normalized,PRIMARY,-0.07478260869565216,0.754694603676616,0.377347301838308,-0.09908989454984396,0.6358124192212229,0.0071428571428571435,False,False,False
C3,GradDot_E20_dmean,SECONDARY,-0.2826086956521739,0.754694603676616,0.377347301838308,-0.3744676247523173,0.9095603158403444,0.0035714285714285718,False,False,False
C4,GradDot_E20_normalized,PRIMARY,0.43043478260869555,0.8839337292326178,0.4419668646163089,0.4869536803198755,0.01788158044941236,0.0071428571428571435,False,False,False
C4,GradDot_E20_dmean,SECONDARY,0.21652173913043476,0.8839337292326178,0.4419668646163089,0.24495245737302832,0.15475994878115024,0.0035714285714285718,False,False,False
C6,GradDot_E20_normalized,PRIMARY,0.15652173913043477,0.9605116377501426,0.4802558188750713,0.16295662954908485,0.23257814893784542,0.0071428571428571435,False,False,False
C6,GradDot_E20_dmean,SECONDARY,0.07652173913043478,0.9605116377501426,0.4802558188750713,0.07966768555733038,0.3611495516064094,0.0035714285714285718,False,False,False
C7,GradDot_E20_normalized,PRIMARY,0.3313043478260869,0.9491509444224862,0.4745754722112431,0.34905338268158187,0.05688774673740126,0.0071428571428571435,False,False,False
C7,GradDot_E20_dmean,SECONDARY,0.3756521739130434,0.9491509444224862,0.4745754722112431,0.3957770638279353,0.03522680844687852,0.0035714285714285718,False,False,False
C8,GradDot_E20_normalized,PRIMARY,-0.1782608695652174,0.9462584539306231,0.47312922696531157,-0.1883849690586616,0.7976853689640626,0.0071428571428571435,False,False,False
C8,GradDot_E20_dmean,SECONDARY,-0.1878260869565217,0.9462584539306231,0.47312922696531157,-0.19849343081302875,0.8102707508413087,0.0035714285714285718,False,False,False
C9,GradDot_E20_normalized,PRIMARY,0.3539130434782608,0.8946019346373317,0.44730096731866587,0.3956095217050205,0.044879228044911346,0.0071428571428571435,False,False,False
C9,GradDot_E20_dmean,SECONDARY,0.22,0.8946019346373317,0.44730096731866587,0.245919432411229,0.15081018527392076,0.0035714285714285718,False,False,False
