weighting,estimator,target,obs_source,lds,ceiling,ratio,p,n,passed
plain,GradDot_dmean,C1,archived,0.4834782608695652,0.9505589414333672,0.5086252306885026,0.008344281658814063,24,True
plain,GradDot_dmean,C5,archived,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
plain,trunc_k0,C1,archived,0.4834782608695652,0.9505589414333672,0.5086252306885026,0.008344281658814063,24,True
plain,trunc_k0,C5,archived,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
plain,trunc_k1,C1,archived,0.3417391304347826,0.9505589414333672,0.3595138770873768,0.05108336060409125,24,False
plain,trunc_k1,C5,archived,0.32521739130434785,0.9380881188989534,0.34668106839052587,0.0604889367718617,24,False
plain,trunc_k2,C1,archived,0.12347826086956522,0.9505589414333672,0.12990068841325067,0.2827024975710983,24,False
plain,trunc_k2,C5,archived,0.42956521739130427,0.9380881188989534,0.4579156357885555,0.018089837667645593,24,False
plain,trunc_k5,C1,archived,0.0017391304347826085,0.9505589414333672,0.0018295871607500091,0.4967825210540297,24,False
plain,trunc_k5,C5,archived,-0.2869565217391304,0.9380881188989534,-0.3058950603445816,0.9130128790481677,24,False
plain,trunc_k10,C1,archived,-0.054782608695652164,0.9505589414333672,-0.057631995563625284,0.6003458782558679,24,False
plain,trunc_k10,C5,archived,-0.020869565217391303,0.9380881188989534,-0.022246913479605935,0.53855414843919,24,False
transport,GradDot_dmean,C1,archived,-0.2278260869565217,0.9548772395487725,-0.23859201740338998,0.8578462864964084,24,False
transport,GradDot_dmean,C5,archived,-0.4495652173913043,0.8961051328444909,-0.5016880284618583,0.9862390441151194,24,False
transport,trunc_k0,C1,archived,-0.2278260869565217,0.9548772395487725,-0.23859201740338998,0.8578462864964084,24,False
transport,trunc_k0,C5,archived,-0.4495652173913043,0.8961051328444909,-0.5016880284618583,0.9862390441151194,24,False
transport,trunc_k1,C1,archived,0.006956521739130434,0.9548772395487725,0.007285252439798168,0.4871320302666262,24,False
transport,trunc_k1,C5,archived,-0.27478260869565213,0.8961051328444909,-0.30664103867301207,0.9031096820657214,24,False
transport,trunc_k2,C1,archived,0.15565217391304348,0.9548772395487725,0.16300752334048402,0.23383525508190844,24,False
transport,trunc_k2,C5,archived,-0.17478260869565218,0.8961051328444909,-0.1950469897888463,0.7929964887957083,24,False
transport,trunc_k5,C1,archived,0.24086956521739128,0.9548772395487725,0.25225186572801156,0.1284362090042067,24,False
transport,trunc_k5,C5,archived,-0.2226086956521739,0.8961051328444909,-0.2484180566464908,0.852110788732789,24,False
transport,trunc_k10,C1,archived,-0.15565217391304348,0.9548772395487725,-0.16300752334048402,0.7661647449180915,24,False
transport,trunc_k10,C5,archived,-0.1434782608695652,0.8961051328444909,-0.16011320057293352,0.7482036768912318,24,False
interaction,GradDot_dmean,C1,archived,0.4408695652173913,0.9562323517547398,0.46104857716680575,0.015527677013760245,24,False
interaction,GradDot_dmean,C5,archived,0.4391304347826086,0.9255046198110549,0.47447676152309065,0.015901813266215818,24,False
interaction,trunc_k0,C1,archived,0.4408695652173913,0.9562323517547398,0.46104857716680575,0.015527677013760245,24,False
interaction,trunc_k0,C5,archived,0.4391304347826086,0.9255046198110549,0.47447676152309065,0.015901813266215818,24,False
interaction,trunc_k1,C1,archived,0.4052173913043478,0.9562323517547398,0.42376456994029876,0.024743201719774777,24,False
interaction,trunc_k1,C5,archived,0.4121739130434783,0.9255046198110549,0.4453504652711783,0.02267345401009121,24,False
interaction,trunc_k2,C1,archived,0.1973913043478261,0.9562323517547398,0.20642608879066057,0.17760394520540893,24,False
interaction,trunc_k2,C5,archived,0.40782608695652167,0.9255046198110549,0.4406526755531278,0.023950460284585973,24,False
interaction,trunc_k5,C1,archived,-0.17913043478260868,0.9562323517547398,-0.18732940216244967,0.79884828408197,24,False
interaction,trunc_k5,C5,archived,0.12,0.9255046198110549,0.12965899621819113,0.2882449360444733,24,False
interaction,trunc_k10,C1,archived,-0.15652173913043477,0.9562323517547398,-0.16368588538466475,0.7674218510621545,24,False
interaction,trunc_k10,C5,archived,0.15043478260869564,0.9255046198110549,0.16254352424454396,0.2414508461618591,24,False
