grain,arm,statistic,primary,depth,n_masks,n_coef,lds,lds_se,ceiling,ratio,ratio_sqrt,CLEARS_BAR
k=3,GradDot,kendall_tau_b,True,2,400,45,0.13383458646616544,0.03321990603672384,0.3759361771409964,0.35600347772853536,0.2182786710201326,False
k=3,"datamodel_ridge (LOO, within)",kendall_tau_b,True,2,400,45,0.39258145363408525,0.027977616090535718,0.3759361771409964,1.0442768680037036,0.6402841016590555,True
k=3,GradDot,spearman,False,2,400,45,0.19985599909999435,0.04852598799410299,0.5095573832843394,0.3922149019053114,0.27997589375193055,False
k=3,"datamodel_ridge (LOO, within)",spearman,False,2,400,45,0.558503740648379,0.03672667332329968,0.5095573832843394,1.0960566149558213,0.7824012521815301,True
k=3,GradDot,kendall_tau_b,True,4,400,45,0.12268170426065163,0.03207753229342305,0.5452203134400011,0.22501308413585394,0.16614749063025885,False
k=3,"datamodel_ridge (LOO, within)",kendall_tau_b,True,4,400,45,0.4630827067669173,0.024451232623580024,0.5452203134400011,0.8493496947044277,0.627151620914258,True
k=3,GradDot,spearman,False,4,400,45,0.18360639753998462,0.048686867643001654,0.6987204723088628,0.26277517951244905,0.2196524620239972,False
k=3,"datamodel_ridge (LOO, within)",spearman,False,4,400,45,0.6496244351527197,0.029353229159677054,0.6987204723088628,0.9297343657415542,0.7771603194881538,True
k=5,GradDot,kendall_tau_b,True,2,400,27,0.1410526315789474,0.0318476993954241,0.38624873609706784,0.365186001653348,0.226959129688582,False
k=5,"datamodel_ridge (LOO, within)",kendall_tau_b,True,2,400,27,0.4188721804511279,0.026617747005233134,0.38624873609706784,1.084462268236035,0.6739815093257411,True
k=5,GradDot,spearman,False,2,400,27,0.21203138769617308,0.04741256644640063,0.5171126501415448,0.4100293961830861,0.2948543740033776,False
k=5,"datamodel_ridge (LOO, within)",spearman,False,2,400,27,0.5930917068231676,0.03469544970504465,0.5171126501415448,1.146929410179437,0.8247631911579294,True
k=5,GradDot,kendall_tau_b,True,4,400,27,0.13192982456140354,0.03188395572734142,0.5524422246677391,0.23881198552618135,0.17750048831941154,False
k=5,"datamodel_ridge (LOO, within)",kendall_tau_b,True,4,400,27,0.4865413533834587,0.025347651752032206,0.5524422246677391,0.8807099306648477,0.6546004900730882,True
k=5,GradDot,spearman,False,4,400,27,0.198886243039019,0.04892398447916129,0.7053257204391546,0.2819778682041924,0.23681536864672334,False
k=5,"datamodel_ridge (LOO, within)",spearman,False,4,400,27,0.6733667710423189,0.029266694730621216,0.7053257204391546,0.9546890911947217,0.8017829573438909,True
