tier,estimator,normalize,variant,target,lds,ceiling,ratio,p,n,passed,jaccard_top20_mean,jaccard_top20_sd
bc_s10,GradDot,unitL2,baseline_mean,C1,0.5130434782608695,0.9505589414333672,0.5397282124212527,0.005176914080912385,24,True,0.39947652006050227,0.0895879569971655
bc_s10,GradDot,unitL2,js_cluster_mean,C1,0.5008695652173912,0.9505589414333672,0.5269211022960026,0.0063326394628343205,24,True,0.3437553287721775,0.1913499605138505
bc_s10,GradDot,unitL2,js_grand_mean,C1,0.5130434782608695,0.9505589414333672,0.5397282124212527,0.005176914080912385,24,True,0.40555649220832757,0.10874185419206978
bc_s10,GradDot,unitL2,js_zero,C1,0.5130434782608695,0.9505589414333672,0.5397282124212527,0.005176914080912385,24,True,0.41428338285123606,0.10903592477417122
bc_s10,GradDot,unitL2,baseline_mean,C5,0.328695652173913,0.9380881188989534,0.3503888873037935,0.05841137529435366,24,False,0.3163081142044696,0.1104012967411207
bc_s10,GradDot,unitL2,js_cluster_mean,C5,0.34956521739130436,0.9380881188989534,0.3726358007833995,0.04702655941797975,24,False,0.3087791187713788,0.21065653586931482
bc_s10,GradDot,unitL2,js_grand_mean,C5,0.328695652173913,0.9380881188989534,0.3503888873037935,0.05841137529435366,24,False,0.17665976124716834,0.12085090050159487
bc_s10,GradDot,unitL2,js_zero,C5,0.328695652173913,0.9380881188989534,0.3503888873037935,0.05841137529435366,24,False,0.19648901273250824,0.12488491192241515
bc_s10,GradDot,dmean,baseline_mean,C1,0.5930434782608696,0.9505589414333672,0.6238892218157532,0.0011281029205193718,24,True,0.1962473863440107,0.06854167078862475
bc_s10,GradDot,dmean,js_cluster_mean,C1,-0.08442126783015762,0.9505589414333672,-0.08881223893686915,0.6525451998081129,24,False,0.2254901960784314,0.1158001623337757
bc_s10,GradDot,dmean,js_grand_mean,C1,,0.9505589414333672,,,24,False,0.26309588941167894,0.4259250283374376
bc_s10,GradDot,dmean,js_zero,C1,0.5930434782608696,0.9505589414333672,0.6238892218157532,0.0011281029205193718,24,True,0.2709906262537841,0.4214394022128511
bc_s10,GradDot,dmean,baseline_mean,C5,0.3904347826086956,0.9380881188989534,0.41620267301429437,0.02962875484969943,24,False,0.21583507316429515,0.08095453383503011
bc_s10,GradDot,dmean,js_cluster_mean,C5,0.0,0.9380881188989534,0.0,0.5,24,False,0.15960836412449314,0.2628220933530273
bc_s10,GradDot,dmean,js_grand_mean,C5,0.3904347826086956,0.9380881188989534,0.41620267301429437,0.02962875484969943,24,False,0.4704969437167579,0.4802406617915914
bc_s10,GradDot,dmean,js_zero,C5,0.3904347826086956,0.9380881188989534,0.41620267301429437,0.02962875484969943,24,False,0.13324783923242994,0.12963817845983847
bc_s10,IF,none,baseline_mean,C1,0.5965217391304348,0.9505589414333672,0.6275483961372532,0.001046349535234133,24,True,0.2088717891848822,0.07042872470452673
bc_s10,IF,none,js_cluster_mean,C1,-0.07049611024992543,0.9505589414333672,-0.0741627974627464,0.6282908502134084,24,False,0.3079002079002079,0.31000157881219187
bc_s10,IF,none,js_grand_mean,C1,,0.9505589414333672,,,24,False,0.27270549902128843,0.4209623244771444
bc_s10,IF,none,js_zero,C1,0.5965217391304348,0.9505589414333672,0.6275483961372532,0.001046349535234133,24,True,0.3170095196410985,0.4475577264570574
bc_s10,IF,none,baseline_mean,C5,0.39391304347826084,0.9380881188989534,0.4199104919275621,0.028417347759815016,24,False,0.2522948035519193,0.05333362650629049
bc_s10,IF,none,js_cluster_mean,C5,0.12956521739130433,0.9380881188989534,0.1381162545192202,0.27311963462929156,24,False,0.24542124542124538,0.29318357303073617
bc_s10,IF,none,js_grand_mean,C5,0.39391304347826084,0.9380881188989534,0.4199104919275621,0.028417347759815016,24,False,0.23911208864769237,0.38405239935583774
bc_s10,IF,none,js_zero,C5,0.39391304347826084,0.9380881188989534,0.4199104919275621,0.028417347759815016,24,False,0.16630507702489128,0.1168119320441398
