group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
ALL,last1,1,False,TracIn,C1,0.4834782608695652,0.9505589414333672,0.5086252306885026,0.008344281658814063,24,True
ALL,last1,1,False,TracIn,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
ALL,last1,1,False,TracIn_trunc_k1,C1,0.3417391304347826,0.9505589414333672,0.3595138770873768,0.05108336060409125,24,False
ALL,last1,1,False,TracIn_trunc_k1,C5,0.32521739130434785,0.9380881188989534,0.34668106839052587,0.0604889367718617,24,False
ALL,last1,1,False,TracIn_trunc_k5,C1,0.0017391304347826085,0.9505589414333672,0.0018295871607500091,0.4967825210540297,24,False
ALL,last1,1,False,TracIn_trunc_k5,C5,-0.2869565217391304,0.9380881188989534,-0.3058950603445816,0.9130128790481677,24,False
ALL,last2,2,True,TracIn,C1,0.5382608695652172,0.9505589414333672,0.5662572262521277,0.00333072548494998,24,True
ALL,last2,2,True,TracIn,C5,0.34434782608695647,0.9380881188989534,0.36707407241349793,0.04970335049650835,24,False
ALL,last2,2,True,TracIn_trunc_k1,C1,0.528695652173913,0.9505589414333672,0.5561944968680028,0.003952542977514913,24,True
ALL,last2,2,True,TracIn_trunc_k1,C5,0.08782608695652173,0.9380881188989534,0.09362242756000833,0.3416076346074026,24,False
ALL,last2,2,True,TracIn_trunc_k5,C1,0.5443478260869564,0.9505589414333672,0.5726607813147528,0.002979293798544474,24,True
ALL,last2,2,True,TracIn_trunc_k5,C5,-0.44869565217391305,0.9380881188989534,-0.47830863981152766,0.9860699790492375,24,False
ALL,last2,2,False,TracIn,C1,0.5495652173913043,0.9505589414333672,0.5781495427970029,0.002703289914333427,24,True
ALL,last2,2,False,TracIn,C5,0.35130434782608694,0.9380881188989534,0.3744897102400333,0.046158627305053934,24,False
ALL,last2,2,False,TracIn_trunc_k1,C1,0.4452173913043478,0.9505589414333672,0.46837431315200234,0.01462299468114405,24,False
ALL,last2,2,False,TracIn_trunc_k1,C5,0.2252173913043478,0.9380881188989534,0.24008127463408074,0.1450037137969357,24,False
ALL,last2,2,False,TracIn_trunc_k5,C1,0.4982608695652173,0.9505589414333672,0.5241767215548776,0.006606012812902796,24,True
ALL,last2,2,False,TracIn_trunc_k5,C5,-0.47130434782608693,0.9380881188989534,-0.5024094627477674,0.989958884405696,24,False
ALL,last3,3,True,TracIn,C1,0.5408695652173913,0.9505589414333672,0.5690016069932529,0.003176094789368347,24,True
ALL,last3,3,True,TracIn,C5,0.05304347826086955,0.9380881188989534,0.05654423842733175,0.4027793187306017,24,False
ALL,last3,3,True,TracIn_trunc_k1,C1,0.17217391304347823,0.9505589414333672,0.1811291289142509,0.21055903446389318,24,False
ALL,last3,3,True,TracIn_trunc_k1,C5,-0.5382608695652172,0.9380881188989534,-0.5737849768281696,0.99666927451505,24,False
ALL,last3,3,True,TracIn_trunc_k5,C1,-0.03217391304347826,0.9505589414333672,-0.033847362473875174,0.5593191439857563,24,False
ALL,last3,3,True,TracIn_trunc_k5,C5,-0.39652173913043476,0.9380881188989534,-0.4226913561125128,0.9724657929574161,24,False
ALL,last3,3,False,TracIn,C1,0.5260869565217391,0.9505589414333672,0.5534501161268778,0.004137960947132278,24,True
ALL,last3,3,False,TracIn,C5,0.18869565217391301,0.9380881188989534,0.20114917604477034,0.1886078175923628,24,False
ALL,last3,3,False,TracIn_trunc_k1,C1,0.5643478260869564,0.9505589414333672,0.593701033663378,0.0020349767227146277,24,True
ALL,last3,3,False,TracIn_trunc_k1,C5,-0.34521739130434775,0.9380881188989534,-0.3680010271418148,0.9507504506021939,24,False
ALL,last3,3,False,TracIn_trunc_k5,C1,0.021739130434782605,0.9505589414333672,0.022869839509375114,0.45984438371831365,24,False
ALL,last3,3,False,TracIn_trunc_k5,C5,-0.39652173913043476,0.9380881188989534,-0.4226913561125128,0.9724657929574161,24,False
ALL,last5,5,True,TracIn,C1,0.5643478260869564,0.9505589414333672,0.593701033663378,0.0020349767227146277,24,True
ALL,last5,5,True,TracIn,C5,0.1217391304347826,0.9380881188989534,0.12977366196436796,0.28546776134445834,24,False
ALL,last5,5,True,TracIn_trunc_k1,C1,0.37043478260869556,0.9505589414333672,0.3897020652397519,0.03738395843442315,24,False
ALL,last5,5,True,TracIn_trunc_k1,C5,-0.44434782608695644,0.9380881188989534,-0.473673866169943,0.9851995263344416,24,False
ALL,last5,5,True,TracIn_trunc_k5,C1,0.3608695652173913,0.9505589414333672,0.3796393358556269,0.04159729639177143,24,False
ALL,last5,5,True,TracIn_trunc_k5,C5,-0.3417391304347826,0.9380881188989534,-0.3642932082285472,0.9489166393959088,24,False
ALL,last5,5,False,TracIn,C1,0.5304347826086956,0.9505589414333672,0.5580240840287528,0.003832812839974303,24,True
ALL,last5,5,False,TracIn,C5,0.18956521739130433,0.9380881188989534,0.20207613077308725,0.1874901955719575,24,False
ALL,last5,5,False,TracIn_trunc_k1,C1,0.5443478260869564,0.9505589414333672,0.5726607813147528,0.002979293798544474,24,True
ALL,last5,5,False,TracIn_trunc_k1,C5,-0.3660869565217391,0.9380881188989534,-0.3902479406214208,0.9607430259877177,24,False
ALL,last5,5,False,TracIn_trunc_k5,C1,0.308695652173913,0.9505589414333672,0.3247517210331266,0.07109495721502365,24,False
ALL,last5,5,False,TracIn_trunc_k5,C5,-0.42173913043478256,0.9380881188989534,-0.4495730432337033,0.9799481624986165,24,False
ALL,evenly2,2,True,TracIn,C1,0.248695652173913,0.9505589414333672,0.26163096398725133,0.12063088344397724,24,False
ALL,evenly2,2,True,TracIn,C5,0.15391304347826085,0.9380881188989534,0.16407098691209376,0.23635993344880765,24,False
ALL,evenly2,2,True,TracIn_trunc_k1,C1,0.308695652173913,0.9505589414333672,0.3247517210331266,0.07109495721502365,24,False
ALL,evenly2,2,True,TracIn_trunc_k1,C5,0.017391304347826087,0.9380881188989534,0.01853909456633828,0.46785729835895856,24,False
ALL,evenly2,2,True,TracIn_trunc_k5,C1,0.3121739130434782,0.9505589414333672,0.3284108953546266,0.06875901479607179,24,False
ALL,evenly2,2,True,TracIn_trunc_k5,C5,0.002608695652173913,0.9380881188989534,0.002780864184950742,0.4951738424019517,24,False
ALL,evenly2,2,False,TracIn,C1,0.49478260869565216,0.9505589414333672,0.5205175472333776,0.0069855165305226005,24,True
ALL,evenly2,2,False,TracIn,C5,0.33826086956521734,0.9380881188989534,0.3605853893152795,0.052967201081610196,24,False
ALL,evenly2,2,False,TracIn_trunc_k1,C1,0.40347826086956523,0.9505589414333672,0.4244642212940022,0.025282957823212927,24,False
ALL,evenly2,2,False,TracIn_trunc_k1,C5,0.2826086956521739,0.9380881188989534,0.30126028670299704,0.09043968415965566,24,False
ALL,evenly2,2,False,TracIn_trunc_k5,C1,0.32956521739130434,0.9505589414333672,0.34670676696212677,0.057900226444020375,24,False
ALL,evenly2,2,False,TracIn_trunc_k5,C5,-0.04347826086956521,0.9380881188989534,-0.0463477364158457,0.5799335079425334,24,False
ALL,evenly3,3,True,TracIn,C1,0.3695652173913043,0.9505589414333672,0.388787271659377,0.03775302257584289,24,False
ALL,evenly3,3,True,TracIn,C5,0.06782608695652173,0.9380881188989534,0.0723024688087193,0.37641759318441,24,False
ALL,evenly3,3,True,TracIn_trunc_k1,C1,0.2721739130434782,0.9505589414333672,0.2863303906573764,0.0991085861577395,24,False
ALL,evenly3,3,True,TracIn_trunc_k1,C5,-0.46434782608695646,0.9380881188989534,-0.49499382492123206,0.9888700732430031,24,False
ALL,evenly3,3,True,TracIn_trunc_k5,C1,0.29478260869565215,0.9505589414333672,0.3101150237471266,0.08100529819783447,24,False
ALL,evenly3,3,True,TracIn_trunc_k5,C5,-0.3121739130434782,0.9380881188989534,-0.33277674746577207,0.9312409852039282,24,False
ALL,evenly3,3,False,TracIn,C1,0.5060869565217391,0.9505589414333672,0.5324098637782527,0.005813764141680733,24,True
ALL,evenly3,3,False,TracIn,C5,0.20608695652173914,0.9380881188989534,0.21968827061110865,0.16698616357150645,24,False
ALL,evenly3,3,False,TracIn_trunc_k1,C1,0.4730434782608695,0.9505589414333672,0.4976477077240025,0.009782874327528116,24,False
ALL,evenly3,3,False,TracIn_trunc_k1,C5,-0.4252173913043478,0.9380881188989534,-0.453280862146971,0.9808398876356152,24,False
ALL,evenly3,3,False,TracIn_trunc_k5,C1,0.13652173913043478,0.9505589414333672,0.14362259211887574,0.26235480972392144,24,False
ALL,evenly3,3,False,TracIn_trunc_k5,C5,-0.34347826086956523,0.9380881188989534,-0.3661471176851811,0.9498397546526508,24,False
