rung,source,statistic,primary,n_masks,depth,retained_demos,lds,ceiling,ratio,ratio_ci_lo,ratio_ci_hi,ratio_sqrt,perm_null_mean,perm_null_p97.5,beats_perm_null,CLEARS_BAR,alpha,prereg,partial_score
k=3,campaign O (fresh),kendall_tau_b,True,400,2,75,0.13383458646616544,0.3759361771409964,0.35600347772853536,0.17982424426963875,0.5498848898733413,0.2182786710201326,-4.731829573934829e-05,0.06819736842105263,True,False,0.025,O1,False
k=3,campaign O (fresh),spearman,False,400,2,75,0.19985599909999435,0.5095573832843394,0.3922149019053114,0.20024119754017078,0.5949087372014106,0.27997589375193055,-9.080981756135986e-05,0.10170438565241027,True,False,0.025,O1,False
k=5,campaign O (fresh),kendall_tau_b,True,400,2,75,0.1410526315789474,0.38624873609706784,0.365186001653348,0.20395598163638493,0.5588889738244573,0.226959129688582,-0.0010820551378446113,0.06341604010025059,True,False,0.025,O2,False
k=5,campaign O (fresh),spearman,False,400,2,75,0.21203138769617308,0.5171126501415448,0.4100293961830861,0.23186395283963096,0.6135066391896271,0.2948543740033776,-0.0016299501246882795,0.0951632994581215,True,False,0.025,O2,False
k=15,"campaign N 5of9, depth-matched",kendall_tau_b,True,37,2,75,0.3003003003003003,0.4511627906976745,0.6656140676759232,0.1936910768443027,2.349356030873891,0.4470840015111077,0.001870870870870871,0.22822822822822825,True,False,0.025,reference,False
k=15,"campaign N 5of9, depth-matched",spearman,False,37,2,75,0.42460881934566147,0.5425017277125086,0.7826865752779264,0.08664890049127648,2.8627333944336977,0.5764855788711973,0.002961830251303935,0.32484589853010876,True,False,0.025,reference,False
