phi,lambda_rel,target,trak_lds,graddot_lds,paired_delta_rho,paired_p
cachedE20_full,100.0,C1,0.06138658434626022,0.242684417004309,-0.18129783265804877,0.892
cachedE20_full,100.0,C5,0.3314039488069973,0.31223872917872536,0.019165219628271946,0.4346
cachedE20_full,1e-06,C2,-0.053894141102321706,0.06524535339893242,-0.11913949450125413,0.7856
regenE5_head,100.0,C1,0.21683066435140524,0.2376037044182906,-0.02077304006688535,0.7366
regenE5_head,100.0,C5,0.2713357772204001,0.2719145925783009,-0.0005788153579008304,0.5014
regenE5_head,0.1,C2,0.4217956138658436,0.1994340472056081,0.2223615666602355,0.0164
