config,label,target,arm,statistic,primary,n_masks,depth,lds,graddot_lds,paired_delta,paired_p,ci_lo,ci_hi,top5_share
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,as_is,kendall_tau_b,True,149,4,-0.1520043533466352,0.47469617268274983,-0.626700526029385,1.0,-0.7347562897970779,-0.5180167136023173,0.20348837849876578
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,as_is,spearman,False,149,4,-0.22290948666787597,0.678860874297116,-0.9017703609649919,1.0,-1.0441411318366765,-0.7398950736371993,0.20348837849876578
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,est_order_base_scale,kendall_tau_b,True,149,4,0.19064030473426447,0.47469617268274983,-0.28405586794848536,1.0,-0.36252647932924786,-0.20414405136623134,0.1571974305393994
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,est_order_base_scale,spearman,False,149,4,0.2996807545800834,0.678860874297116,-0.3791801197170325,1.0,-0.4891725639354619,-0.26565312032345273,0.1571974305393994
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,base_order_est_scale,kendall_tau_b,True,149,4,0.1670596771267912,0.47469617268274983,-0.3076364955559586,1.0,-0.38287509969089345,-0.2342619728849903,0.21143857548966016
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,base_order_est_scale,spearman,False,149,4,0.2647524034101215,0.678860874297116,-0.41410847088699443,1.0,-0.5238219965823591,-0.3024288964550703,0.21143857548966016
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,base,kendall_tau_b,True,149,4,0.47469617268274983,0.47469617268274983,0.0,1.0,0.0,0.0,0.15963345827097608
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",C5,base,spearman,False,149,4,0.678860874297116,0.678860874297116,0.0,1.0,0.0,0.0,0.15963345827097608
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,as_is,kendall_tau_b,True,149,4,-0.02412479593687647,0.5144204607291855,-0.5385452566660619,1.0,-0.6614421169067182,-0.4141898771054328,0.3103658537939971
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,as_is,spearman,False,149,4,-0.030948666787592963,0.7188536187193906,-0.7498022855069836,1.0,-0.9126154545623593,-0.573270689739038,0.3103658537939971
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,est_order_base_scale,kendall_tau_b,True,149,4,0.4103029203700344,0.5144204607291855,-0.10411754035915105,0.9972,-0.17076627963516314,-0.029975485725945314,0.17013443539350545
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,est_order_base_scale,spearman,False,149,4,0.5944712497732632,0.7188536187193906,-0.12438236894612742,0.9982,-0.20195635667807918,-0.04108574065030101,0.17013443539350545
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,base_order_est_scale,kendall_tau_b,True,149,4,0.36695084346091056,0.5144204607291855,-0.1474696172682749,1.0,-0.2202135379115597,-0.07540945371877932,0.2836386671736361
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,base_order_est_scale,spearman,False,149,4,0.5262760747324506,0.7188536187193906,-0.19257754398693994,1.0,-0.29104841835554296,-0.09934050026588588,0.2836386671736361
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,base,kendall_tau_b,True,149,4,0.5144204607291855,0.5144204607291855,0.0,1.0,0.0,0.0,0.16184602316746005
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",C5,base,spearman,False,149,4,0.7188536187193906,0.7188536187193906,0.0,1.0,0.0,0.0,0.16184602316746005
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,as_is,kendall_tau_b,True,149,4,-0.27607473245057135,0.47469617268274983,-0.7507709051333211,1.0,-0.8580810223246191,-0.6383098189552233,0.21592692122610435
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,as_is,spearman,False,149,4,-0.40500634863050977,0.678860874297116,-1.0838672229276258,1.0,-1.2179307140640516,-0.9227229627838861,0.21592692122610435
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,est_order_base_scale,kendall_tau_b,True,149,4,0.2232904044984582,0.47469617268274983,-0.2514057681842916,1.0,-0.3207020380115826,-0.17959476071912497,0.1701649587251592
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,est_order_base_scale,spearman,False,149,4,0.35517504081262474,0.678860874297116,-0.3236858334844912,1.0,-0.41979300320825685,-0.22344539903575267,0.1701649587251592
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,base_order_est_scale,kendall_tau_b,True,149,4,0.20932341737710863,0.47469617268274983,-0.2653727553056412,1.0,-0.34289576453728887,-0.18679570324074762,0.2071213972467549
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,base_order_est_scale,spearman,False,149,4,0.32203156176310543,0.678860874297116,-0.3568293125340105,1.0,-0.4665130451679183,-0.24545961582433307,0.2071213972467549
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,base,kendall_tau_b,True,149,4,0.47469617268274983,0.47469617268274983,0.0,1.0,0.0,0.0,0.15963345827097608
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,C5,base,spearman,False,149,4,0.678860874297116,0.678860874297116,0.0,1.0,0.0,0.0,0.15963345827097608
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",C7,as_is,kendall_tau_b,True,151,4,-0.19222958057395143,0.28229580573951435,-0.47452538631346575,1.0,-0.5852775842255704,-0.35988620199146515,0.33963901233978583
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",C7,as_is,spearman,False,151,4,-0.2773335657023353,0.42788428023701636,-0.7052178459393517,1.0,-0.8554409733521173,-0.5384475738721897,0.33963901233978583
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",C7,est_order_base_scale,kendall_tau_b,True,151,4,0.030993377483443708,0.28229580573951435,-0.25130242825607063,1.0,-0.3135267096807652,-0.1854351694914316,0.1981916044819108
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",C7,est_order_base_scale,spearman,False,151,4,0.05637504356918786,0.42788428023701636,-0.3715092366678285,1.0,-0.45990758567455287,-0.27279672758932877,0.1981916044819108
