member,G_rel_fro,K_rel_fro,diag_ratio_median,K_spearman_mean
dpens_s621,0.13079146083171167,0.0810282009932163,1.1152212935613222,0.9965618530441476
dpens_s622,0.062128937239088994,0.18936666466435667,0.9275320556913582,0.994329550504558
dpens_s623,0.3280901048964653,0.6674094526037629,0.8236206719494846,0.9643194701871904
dpens_s624,0.05266729747158561,0.11377662090401769,0.9558014055855627,0.9963602466967993
dpens_s625,0.2701893388667579,0.183515134964249,0.7321110076015191,0.9974936046013537
