step,C1_lds,C1_ratio,C5_lds,C5_ratio
400,0.5704347826086955,0.6001045887260029,0.21304347826086956,0.22710390843764394
800,-0.19478260869565217,-0.20491376200400105,-0.08434782608695651,-0.08991460864674065
1200,-0.29217391304347823,-0.30737064300600153,-0.13565217391304346,-0.1446049376174386
1600,-0.31565217391304345,-0.3320700696761267,0.4156521739130434,0.44308436013548486
2000,-0.34956521739130436,-0.3677470193107519,0.4504347826086956,0.4801625492681615
2400,0.42260869565217385,0.4445896800622522,-0.5826086956521739,-0.6210596679723324
2800,0.01652173913043478,0.017381078027125088,0.15565217391304348,0.16592489636872762
3200,-0.15043478260869564,-0.1582592894048758,0.02695652173913043,0.028735596577824332
3600,0.437391304347826,0.4601411709286273,0.3356521739130434,0.3578045251303288
4000,-0.39391304347826084,-0.4144014919098771,0.17565217391304347,0.18724485512001665
4400,0.48521739130434777,0.5104548178492525,0.4017391304347826,0.4282530844824143
4800,-0.07391304347826086,-0.07775745433187539,-0.14608695652173911,-0.15572839435724156
5200,0.3460869565217391,0.36408784498925184,0.2208695652173913,0.23544650099249617
5600,-0.5469565217391303,-0.5754051620558779,-0.2895652173913043,-0.30867592452953235
6000,0.4556521739130434,0.4793518361165024,0.2539130434782608,0.2706707806685389
6400,0.3956521739130434,0.41623107907062706,0.31652173913043474,0.33741152110735667
6800,0.5052173913043477,0.5314950701978777,0.606086956521739,0.646087445636889
7200,0.45739130434782604,0.48118142327725244,0.47478260869565214,0.5061172816610351
7600,0.48,0.5049660563670025,0.348695652173913,0.37170884605508253
8000,-0.05217391304347826,-0.05488761482250028,0.054782608695652164,0.05839814788396558
