tier,target,lds,ceiling,ratio,bar,p,n,ci95,alpha,passed,estimator
bc_s10,C1,0.5930434782608696,0.9505589414333672,0.6238892218157532,0.4752794707166836,0.0011281029205193718,24,"[0.20705856643356646, 0.8357440041773357]",0.025,True,GradDot_dmean
bc_s10,C5,0.3904347826086956,0.9380881188989534,0.41620267301429437,0.4690440594494767,0.02962875484969943,24,"[0.004331228962043039, 0.70517472979633]",0.025,False,GradDot_dmean
bc_s10,C1,0.5130434782608695,0.9505589414333672,0.5397282124212527,0.4752794707166836,0.005176914080912385,24,"[0.13594062564668552, 0.781855665884506]",0.025,True,GradDot_unitL2
bc_s10,C5,0.328695652173913,0.9380881188989534,0.3503888873037935,0.4690440594494767,0.05841137529435366,24,"[-0.09426193604905825, 0.6820112766726403]",0.025,False,GradDot_unitL2
bc_s10,C1,0.4269565217391304,0.9505589414333672,0.4491636479641273,0.4752794707166836,0.018726156937649677,24,"[0.04833222098115226, 0.7330444660918227]",0.025,False,relatif_sqrt/mean_over_members
bc_s10,C5,0.45217391304347826,0.9380881188989534,0.4820164587247953,0.4690440594494767,0.01326360681605183,24,"[0.07408383767054717, 0.7383927721238805]",0.025,False,relatif_sqrt/mean_over_members
bc_s10,C1,0.4765217391304347,0.9505589414333672,0.5013068820455026,0.4752794707166836,0.009282557507176999,24,"[0.12305972989953015, 0.7279870989089996]",0.025,True,relatif_sqrt/unitl2_then_mean
bc_s10,C5,0.4904347826086956,0.9380881188989534,0.5228024667707395,0.4690440594494767,0.007484852717203403,24,"[0.11515273313436036, 0.7585870077021687]",0.025,True,relatif_sqrt/unitl2_then_mean
bc_s10,C1,0.21043478260869564,0.9505589414333672,0.22138004645075113,0.4752794707166836,0.16182334348475097,24,"[-0.2355359991765735, 0.6397323810402519]",0.025,False,relatif_lin/mean_over_members
bc_s10,C5,0.4391304347826086,0.9380881188989534,0.4681121378000415,0.4690440594494767,0.015901813266215818,24,"[0.049457379153841616, 0.7281923683855621]",0.025,False,relatif_lin/mean_over_members
bc_s10,C1,0.4243478260869564,0.9505589414333672,0.4464192672230022,0.4752794707166836,0.01938004881968357,24,"[0.06039712144125592, 0.702428631693307]",0.025,False,relatif_lin/unitl2_then_mean
bc_s10,C5,0.6113043478260869,0.9380881188989534,0.6516491740067906,0.4690440594494767,0.0007527108912322395,24,"[0.2659345879311098, 0.8396231395146979]",0.025,True,relatif_lin/unitl2_then_mean
