config,target,analysis,draws,n_masks,statistic,lds,graddot_lds,ceiling,ratio,p_abs,paired_delta_rho,paired_p,ci_lo,ci_hi,ci_width,boot_se,PASS_abs,PASS_paired
relatif_C5,C5,full_information,J+K+L,72,raw,0.18361309408965207,0.10045662100456623,0.9640667792397117,0.19045682108707673,0.06130633286542469,0.08315647308508584,0.2022,-0.10824900339945207,0.2842974501501609,0.39254645354961293,0.1000261369608109,False,False
relatif_C5,C5,without_discovery_draw,K+L,48,raw,0.005753365175857577,0.049609205384281374,0.9624262187812588,0.005977980507579259,0.48452091093037625,-0.0438558402084238,0.6592,-0.2636954063174955,0.18513461571028333,0.44883002202777883,0.115468344977625,False,False
surrogate_C5,C5,full_information,J+K+L,72,raw,0.12055437648723394,0.11885008682230369,0.9640667792397117,0.12504774470323132,0.15655454946576025,0.0017042896649302475,0.5018,-0.3302964195235713,0.3074887063826781,0.6377851259062495,0.1631990587240531,False,False
surrogate_C5,C5,without_discovery_draw,K+L,48,raw,-0.08206686930091185,0.154363873208858,0.9624262187812588,-0.08527081629679095,0.7103902803301347,-0.23643074250976986,0.8862,-0.6282413956521162,0.1434156660101801,0.7716570616622963,0.19841333251056473,False,False
ensemble_C5,C5,full_information,K+L,48,raw,-0.04429005644811116,0.049609205384281374,0.9624262187812588,-0.046019170699855436,0.6174951527597692,-0.09389926183239253,0.7528,-0.37721955660959383,0.1753385175920385,0.5525580742016323,0.14251980088586721,False,False
leverage_C7,C7,full_information,J+K+L,72,raw,0.30680429609621207,0.2089845006109718,0.9602320084766205,0.31951059055295183,0.004379712475545162,0.09781979548524028,0.255,-0.19856637702685354,0.402816112278565,0.6013824893054185,0.15360349086420447,False,False
leverage_C7,C7,without_discovery_draw,J+L,48,raw,0.26791141988710376,0.24033868866695612,0.9499957256664907,0.2820132897957457,0.03280838181145313,0.02757273122014764,0.4286,-0.3382117460237851,0.3953005419179914,0.7335122879417766,0.18655249755264577,False,False
