estimator,target,lds,ceiling,ratio,bar,p,alpha_bonf,n,PASS
GradDot_dmean_mean,C1,0.42,0.82979067062928,0.5061517499124072,0.41489533531464,0.020509800007056437,0.00625,24,False
GradDot_dmean_mean,C5,0.18608695652173912,0.8444377100886411,0.22036789013390398,0.42221885504432055,0.19198351698587418,0.00625,24,False
GradDot_unitL2_HL,C1,0.42,0.82979067062928,0.5061517499124072,0.41489533531464,0.020509800007056437,0.00625,24,False
GradDot_unitL2_HL,C5,0.18608695652173912,0.8444377100886411,0.22036789013390398,0.42221885504432055,0.19198351698587418,0.00625,24,False
