target,ceiling,GradDot_ALL,GradDot_head,TracIn_head_last5_lr,KFAC_embed_1e-4,datamodel_LOO,draw
C1,0.8430001509130237,0.17638864241348715,0.17019956724108407,0.3393676219534343,0.31151678367762053,0.6024033167805642,boot0
C1,0.9352837700212943,0.41373167603487904,0.41373167603487904,0.5392457800005165,0.06973005775868746,0.7028789822075697,boot1
C1,0.9284882366643371,0.406457819760466,0.40083858722921534,0.5422559392656908,0.16014812714064444,,boot2
C1,0.9138647525500566,0.2673785430558801,0.2673785430558801,0.5985092654168988,-0.03520642737746464,0.669873645236084,boot3
C1,0.9426745736220291,0.3948063557219732,0.38650435291473545,0.5267159558814175,0.1697298351701941,0.3809696843765769,boot4
C1,0.9463074949606011,0.325291819620786,0.325291819620786,0.41442545381066237,0.1497812615768026,0.5807469774020813,boot5
C1,0.8810508392118706,0.42932921998415474,0.4273552925359518,0.369124432813963,0.17765347033827095,0.13718795765010924,boot6
C1,0.9351358859206444,0.25292766825815727,0.24548861919174086,0.46122104211781617,0.1887658700603159,0.305001011723072,boot7
C1,0.9058039961941008,0.3455973693825356,0.33599744245524293,0.28127785896967483,0.2572780416514432,0.5126360979174278,boot8
C1,0.9471756843358051,0.5315574176955596,0.5260490506728077,0.6352983299573874,0.2478765160238361,,boot9
C1,0.9122724048238353,0.34981923501701717,0.34981923501701717,0.5137672143710416,-0.20398178826605362,0.5757242995920391,boot10
C1,0.8981508096196225,0.3369241472713611,0.3369241472713611,0.6080125416276286,0.24882041910557412,0.7890608621441357,boot11
C1,0.9002582002486371,0.2994310047016007,0.2994310047016007,0.44818060058562187,0.3882943996453017,,boot12
C1,0.908866644527729,0.18274073267155957,0.18274073267155957,0.3721787696818674,0.23249213633083235,0.6046709060126998,boot13
C1,0.9071038251366119,0.47163960188580406,0.47163960188580406,0.5234049240440021,0.19747511786275537,0.3288056574122578,boot14
C1,0.9388696655132642,0.5075483388526866,0.4964341416515329,0.46123918384787943,-0.17967952141865182,0.6298045080653775,boot15
C1,0.869501105922831,0.0020001474672499816,0.0020001474672499816,0.3800280187774965,0.030002212008749727,,boot16
C1,0.8665483934555489,0.09432725402539857,0.08529592119317957,0.1113864382640345,0.07124718123195001,,boot17
C1,0.8308255388369256,0.3569001255613016,0.3537602417587094,0.31503500819340696,-0.18629977228713102,,boot18
C1,0.9444214970856853,0.27438006820285066,0.2679348988155354,0.4640521958867004,0.19059286616775198,-0.035908800872185155,boot19
C1,0.9100559188702493,0.24078787933673235,0.23314381967524875,0.43475589324687786,-0.07739610407252112,0.36691486375121124,boot20
C1,0.9008363201911588,0.41024679967708455,0.40735093991465804,0.5096713181870604,0.20174489678237809,0.4643028485757122,boot21
C1,0.9254344982246309,0.289405773688277,0.289405773688277,0.4754523424878837,-0.05449848985038983,0.6962651892954976,boot22
C1,0.9161679468451062,0.4982948166899988,0.4982948166899988,0.5419549339618844,0.10630289422719975,0.8228982972766264,boot23
C1,0.8788144681680803,0.47197972236424496,0.4670323458195464,0.4828639507625818,0.24440040130811005,,boot24
C1,0.9220097487814022,0.387622045016532,0.3838495676927701,0.6573541736655056,0.23012111674947397,,boot25
C1,0.9407755365202173,0.5786160512851073,0.5592056086701118,0.5906320395705809,0.15528354091996494,0.16729952920543842,boot26
C1,0.9489077780824421,0.32806596701649177,0.32440042548558123,0.4600254621292706,0.12737756819914067,,boot27
C1,0.8722173188192605,0.4855192068908204,0.4855192068908204,0.534370215387022,-0.2741638231929684,,boot28
C1,0.8943370829727909,0.2362692455105494,0.2284908341357165,0.4112835014442897,-0.2294631355575706,,boot29
C1,0.9302823124505837,0.4253033392312942,0.4224991413902087,0.45988844593801487,0.26546406228942326,,boot30
C1,0.9301827991999627,0.5637040660587799,0.5580950703766029,0.5982928727655374,-0.01682698704653074,,boot31
C1,0.9457279061239456,0.4431828986631151,0.4431828986631151,0.6169620850683616,0.19952425105787547,,boot32
C1,0.931723176962378,0.4041133122372014,0.4003801638562573,0.48157614114179204,0.18012440938055396,,boot33
C1,0.9278888733510465,0.29988598587273224,0.29426312363761853,0.6025834028630213,0.3214402911073349,0.7403435276233078,boot34
C1,0.9569634030202712,0.5406594470748703,0.5342987476975188,0.6887728754331961,0.007269370716973046,,boot35
C1,0.9147359977351012,0.31180295955395865,0.31180295955395865,0.4097166938041348,0.028518563373837687,0.40211174357111135,boot36
C1,0.8264707383029746,0.26198355137778684,0.26198355137778684,0.3619371151564605,-0.01893856997911712,,boot37
C1,0.8179061520275479,-0.2200741485484479,-0.2200741485484479,-0.0893054515848774,0.05847380758533639,0.831391227849692,boot38
C1,0.9350865820909343,0.5347098435333729,0.5282003323947058,0.4947228465387033,0.15994798797867849,0.3505836713253593,boot39
C1,0.8863064110013558,0.397350068409851,0.397350068409851,0.5239134235329888,-0.3482945044086348,,boot40
C1,0.9453895180888624,0.4451811207598257,0.4415019379436288,0.5997067990400957,0.24834484009329116,,boot41
C1,0.90183346065699,0.41075741671730837,0.407864758853102,0.5534618713514906,-0.02314126291365118,,boot42
C1,0.8545246277205039,0.27678750437113886,0.27373470101410424,0.21776663946846955,-0.031545634689357734,0.3052803357034619,boot43
C1,0.8960353268695401,0.3561583178841263,0.35324694198861567,0.5502500442514975,0.18050530552165525,,boot44
C1,0.921200750469043,0.45026299477552467,0.44743115204108747,0.529554591339768,0.015103161250332064,,boot45
C1,0.9367112015163422,0.47994004626351316,0.4678719213091114,0.47437014243840464,0.032491105646466074,0.4084596138412878,boot46
C1,0.8641975308641976,0.15696894409937884,0.1539503105590062,0.24752795031055896,-0.023142857142857142,,boot47
C1,0.9298343569700354,0.608804086747659,0.6022578062449959,0.5798134159501513,0.14682371984544157,0.46104518397326555,boot48
C1,0.9191221391982705,0.47587941329468203,0.4588499313079936,0.423844885002023,0.019867728984469826,-0.05960318695340948,boot49
C1,0.899152826305461,0.5802563426048074,0.5802563426048074,0.5609144645179807,-0.282391420067673,0.4912837034054037,boot50
