scope,statistic,n,delta,p,ci_lo,ci_hi,width
K+L+M matched depth 2,kendall_tau_b,192,0.05519197207678883,0.0736,-0.019635389316000094,0.13051185023843503,0.15014723955443512
K+L+M matched depth 2,spearman,192,0.07522447983072458,0.0848,-0.03347639721418553,0.18428858254330258,0.2177649797574881
K+L at depth 2 only,kendall_tau_b,48,-0.09397163120567377,0.8978,-0.23848238482384826,0.05803416998886377,0.29651655481271205
K+L at depth 2 only,spearman,48,-0.10497177594442032,0.8344,-0.32047875591913355,0.11798409763459307,0.4384628535537266
K+L at depth 10 (archived),kendall_tau_b,48,-0.05141843971631206,0.757,-0.19443145134185547,0.10238938680957485,0.29682083815143034
K+L at depth 10 (archived),spearman,48,-0.0438558402084238,0.6592,-0.2636954063174955,0.18513461571028333,0.44883002202777883
