draw,target,n,ceiling,relatif_lds,graddot_lds,relatif_ratio,graddot_ratio,paired_delta_rho,paired_p
G,C1,24,0.9410990938322127,0.41130434782608694,0.5730434782608694,0.43704680040784083,0.6089087557479219,-0.1617391304347825,0.8426
G,C5,24,0.9201515812066131,0.5895652173913043,0.36347826086956525,0.6407261905893762,0.39501998180878956,0.22608695652173905,0.0544
H,C1,24,0.9576926811899136,-0.03304347826086956,0.13739130434782607,-0.03450321685638624,0.14346074377129017,-0.17043478260869563,0.7244
H,C5,24,0.960041627043224,0.3173913043478261,-0.06608695652173913,0.3306016066463086,-0.06883759480854645,0.3834782608695652,0.0688
I,C1,24,0.9392930084109893,0.3217391304347825,-0.04869565217391304,0.34253329637689056,-0.051842877289475335,0.37043478260869556,0.047
I,C5,24,0.9614689945815773,0.6234782608695651,0.48869565217391303,0.6484642400152459,0.5082801992867061,0.13478260869565212,0.2166
POOLED_GHI,C1,72,,0.2564152035500676,0.242684417004309,,,0.013730786545758572,0.4578
POOLED_GHI,C5,72,,0.5218342015563703,0.31223872917872536,,,0.20959547237764492,0.0162
