target,config,n_masks,depth,budget,ceiling,level_sd_est,level_sd_graddot,lds_est_mean,lds_graddot_mean,ratio_est_mean,paired_sd,paired_mean,ci_width_95,power_0.10,power_0.15,power_0.20,power_0.30
C5,relatif_C5,24,2,48,0.7871592488361965,0.20078794026404015,0.20683541608486297,0.3210970023972867,0.18471764481257588,0.4079187316569347,0.1791204524345767,0.13637935758471084,0.7021521735435406,0.13861342509934155,0.20970987837113247,0.2986502327115961,0.5119652725399028
C5,relatif_C5,24,3,72,0.8409406889431679,0.18948660536196796,0.22195209536623164,0.32240162554012874,0.19247999636627475,0.3833821216872016,0.18693921880232092,0.12992162917385397,0.732801737705098,0.1335166649799081,0.19976699953760685,0.2826499876105525,0.4840250618309721
C5,relatif_C5,24,4,96,0.8835370531967217,0.19135127701679172,0.21440006590661995,0.3232097313261613,0.19929569004639097,0.3658134428621387,0.1835669070498409,0.12391404127977032,0.7195822756353764,0.1356457739957979,0.2039165622440423,0.28933358279211374,0.4957824096891755
C5,relatif_C5,24,5,120,0.8998759441090884,0.18734233065335718,0.20817652806385467,0.33856826148893254,0.19180610051874195,0.37623881792298386,0.17206345615443097,0.1467621609701906,0.6744887481253694,0.1437384992880112,0.21973685928750614,0.3147283250089813,0.5393074669437627
C5,relatif_C5,24,6,144,0.9215520727680007,0.18787514408459782,0.21027029222700633,0.33606633917248835,0.21102309599100352,0.3646742806004111,0.18340474276556346,0.1250432431814849,0.7189465916410087,0.1357507240630179,0.2041212594744961,0.2896630706747859,0.4963588581357969
C5,relatif_C5,24,8,192,0.9374470017434007,0.18866460354392123,0.21272410822022098,0.342547882599226,0.20730155231562547,0.3654050649926647,0.18174171373521397,0.13524633028360047,0.7124275178420387,0.13684108980294352,0.20624874548228866,0.29308628754012284,0.5023300541742517
C5,relatif_C5,24,10,240,0.9453423577680554,0.19865091715129424,0.21883261953114244,0.35596526617079044,0.21052850936107856,0.37654640485085333,0.18328408926895937,0.14543675680971183,0.7184736299343207,0.13582896567138075,0.20427387289910787,0.28990870903196103,0.49678841421129005
C5,relatif_C5,48,2,96,0.7988784096396949,0.14224714019284684,0.14843277384335737,0.31721480748031444,0.18639021287034463,0.3970752040017988,0.12651585037248575,0.13082459460996984,0.49594213346014415,0.1964309439929839,0.32303398997157556,0.47447554407488646,0.7662003728413898
C5,relatif_C5,48,3,144,0.8662835197236108,0.13577537159080588,0.14322424113569693,0.32707746765223045,0.18767800844549407,0.3775639963191093,0.12720211509890525,0.13939945920673633,0.4986322911877086,0.19525214857888362,0.32074091572409136,0.47108102281282616,0.7622620168429304
C5,relatif_C5,48,4,192,0.8897256772306915,0.13664241364827695,0.1550105623502504,0.34432389419252935,0.19862209662360744,0.3870000641818632,0.12000136818935235,0.14570179756892193,0.4704053633022612,0.20853074485021222,0.34647019836598336,0.508693874698759,0.8037570510336233
C5,relatif_C5,48,5,240,0.9082419380916953,0.12716057757453317,0.14708325906943975,0.3386904813260755,0.2020338191241822,0.3729077761347347,0.1211316341216937,0.13665666220189326,0.47483600575703927,0.20630608261747874,0.34217611055393465,0.5024904733918542,0.7972365124154543
C5,relatif_C5,48,6,288,0.9253621342774254,0.12678298282133613,0.14930576601945023,0.33901348680682997,0.19532887953746922,0.36635763907883556,0.12824742536710562,0.14368460726936072,0.502729907439054,0.19348896735528648,0.31730813665482255,0.46598436497819923,0.7562763470144714
C5,relatif_C5,48,8,384,0.9423471203336038,0.12795854891706232,0.14283289535898086,0.3437317349318095,0.19671517324596183,0.3647612726933614,0.12061100314270544,0.14701656168584765,0.4727951323194053,0.20732389148663322,0.3441415934992809,0.5053336495021153,0.80024078987022
C5,relatif_C5,48,10,480,0.951180721220486,0.13270969524980883,0.15659762056635576,0.3552398899460908,0.19938873496499598,0.3734725505057259,0.12897684189309647,0.15585115498109472,0.5055892202209381,0.1922812117117798,0.31495478044999803,0.4624800458586283,0.7521102323575687
C5,relatif_C5,72,2,144,0.7953950860976584,0.11325754362607832,0.12841825634163226,0.3214117574048149,0.18970083781492175,0.4040907003608922,0.10310493930339597,0.13171091958989314,0.4041713620693122,0.24984805194282383,0.4246447044793326,0.6159716065673387,0.8970290744541903
C5,relatif_C5,72,3,216,0.86745985356004,0.1135564034763713,0.12286706815023643,0.33440229301610197,0.18837567218125656,0.38549598767449683,0.10822617934381182,0.14602662083484538,0.4242466230277423,0.23549697490070753,0.39786879752151577,0.580482539022118,0.8701539014165485
