grain,n_fit,n_coef,masks_per_coef,n_held_out,n_draws,within_mean,within_se,transfer_mean,transfer_se,ratio_mean,ratio_se
k=3,50,45,1.11,350,12,0.2317805976258698,0.01599028562944171,0.18277568922305765,0.011249954991373335,0.8150041329471086,0.060921822526409326
k=3,100,45,2.22,300,12,0.30288740245261986,0.01159535421231315,0.2316416040100251,0.009828695261865585,0.7683145691531826,0.027180084117858497
k=3,200,45,4.44,200,12,0.35594639865996647,0.006063538013805553,0.2746532999164578,0.004416054424783208,0.7737787700050266,0.017147143626513876
k=3,300,45,6.67,100,12,0.40343434343434353,0.014663880381689153,0.29627819548872186,0.002241843036427775,0.7466247064744286,0.031009703578855824
k=5,50,27,1.85,350,12,0.3024832855778414,0.011627631936206037,0.2510964912280702,0.012950038716062873,0.8360692601499817,0.04427374758868536
k=5,100,27,3.7,300,12,0.3586807878112226,0.005185127172224488,0.2918191311612364,0.009620049555832746,0.812592395385387,0.021767162032286652
k=5,200,27,7.41,200,12,0.3998994974874371,0.011922888557773854,0.3108625730994153,0.004276062820898852,0.7840245104188024,0.02272043147653617
k=5,300,27,11.11,100,12,0.3892255892255893,0.01549212763836164,0.31890768588137014,0.0026034957361290825,0.8343197082814958,0.03486567894003421
