config,target,k_draws,FE,FE_se,FE_lo,FE_hi,Q,df,p_Q,I2,tau2,RE,RE_se,RE_lo,RE_hi
relatif_C5,C5,3,0.022910027206011385,0.106062872933563,-0.1849732037437721,0.23079325815579485,3.725253616643456,2,0.1552642448171888,0.46312380154077976,0.030377335530584235,0.05047176784874931,0.14769108468540046,-0.23900275813463562,0.3399462938321342
surrogate_C5,C5,3,-0.021849758147191596,0.1693248982923571,-0.35372655880021153,0.31002704250582835,2.9046822019163767,2,0.23402177767723054,0.3114565171086561,0.039680098485425044,-0.029015135155574318,0.2055679067716521,-0.4319282324280124,0.3738979621168638
ensemble_C5,C5,2,-0.14355184145813382,0.14274148883432347,-0.4233251595734078,0.13622147665714018,2.365990482836983,1,0.12400518414526907,0.5773440310711089,0.055666223638529126,-0.1442624175763529,0.21956460117534918,-0.5746090358800373,0.28608420072733143
leverage_C7,C7,3,0.13286575555033558,0.16176889136521727,-0.18420127152549026,0.44993278262616143,1.9657950601550904,2,0.3742251976295068,0.0,0.0,0.13286575555033558,0.16176889136521727,-0.18420127152549026,0.44993278262616143
