scope,statistic,primary,n_masks,depth,lds,ceiling,ratio,ratio_ci_lo,ratio_ci_hi,perm_mean,perm_p97.5,lds_above_perm,clears_half_bar
POOLED (committed primary),kendall_tau_b,True,149,4,0.47469617268274983,0.6715129121651471,0.7069055026093176,0.6121065391996389,0.8167366194256572,0.35304879376020315,0.41465626700526026,0.12164737892254668,True
within 4of9,kendall_tau_b,True,56,4,0.20779220779220783,0.505338078291815,0.4111944393634535,0.09216938447819052,0.7768024405007504,0.000895454545454546,0.17279220779220747,0.2068967532467533,False
within 5of9,kendall_tau_b,True,37,4,0.25825825825825827,0.5210954848260547,0.4956064018564019,0.11518203892050592,0.9433525103467719,0.0021801801801801797,0.21921921921921922,0.2560780780780781,False
within 6of9,kendall_tau_b,True,56,4,0.16883116883116886,0.5324015247776367,0.31711248179028606,-0.016640825973699095,0.71936748673205,-0.0020058441558441554,0.17792207792207795,0.170837012987013,False
POOLED (committed primary),spearman,False,149,4,0.678860874297116,0.8141306241678158,0.8338476089030931,0.7349671864149437,0.9351328944291825,0.5173083801922728,0.5967934881189915,0.16155249410484318,True
within 4of9,spearman,False,56,4,0.2907723855092276,0.6483115443248488,0.4485071846314842,0.07698303244234422,0.8249752561608344,0.0010839029391660976,0.2527101845522898,0.2896884825700615,False
within 5of9,spearman,False,37,4,0.40445708866761493,0.6675792355480678,0.6058563045861733,0.17798659059933078,1.060080467624212,0.0028277619724988135,0.31112494073020347,0.40162932669511614,True
within 6of9,spearman,False,56,4,0.2550922761449077,0.6878727634194831,0.3708422395979439,-0.008757181980472878,0.7860210939194946,-0.0028919685577580303,0.25886705399863286,0.25798424470266573,False
