statistic,c,split_half_r,spearman_brown,resolution_at_n100
kendall_tau_b,0.5426253518839643,0.43738977072310403,0.5793981667544885,10.677683317649112
spearman,0.7166237304961265,0.49927284044931103,0.6216469332897676,8.674662962380475
