tier,recipe,fusion,target,eval_mode,lds,ceiling,ratio,bar,p,n,passed
bc_s10,GradDot+datamodel,borda,C1,leave_one_mask_out,0.5339130434782609,0.9505589414333672,0.5616832583502529,0.4752794707166836,0.003602396957590919,24,True
bc_s10,GradDot+datamodel,borda,C5,leave_one_mask_out,0.6339130434782608,0.9380881188989534,0.6757499969430303,0.4690440594494767,0.00044035406135434885,24,True
bc_s10,GradDot+datamodel,zscore_avg,C1,leave_one_mask_out,0.497391304347826,0.9505589414333672,0.5232619279745027,0.4752794707166836,0.00669926247674022,24,True
bc_s10,GradDot+datamodel,zscore_avg,C5,leave_one_mask_out,0.7634782608695652,0.9380881188989534,0.8138662514622506,0.4690440594494767,7.1196015093120874e-06,24,True
bc_s10,GradDot+datamodel,median_rank,C1,leave_one_mask_out,0.5339130434782609,0.9505589414333672,0.5616832583502529,0.4752794707166836,0.003602396957590919,24,True
bc_s10,GradDot+datamodel,median_rank,C5,leave_one_mask_out,0.6339130434782608,0.9380881188989534,0.6757499969430303,0.4690440594494767,0.00044035406135434885,24,True
bc_s10,GradDot+HL+datamodel,borda,C1,leave_one_mask_out,0.5869565217391304,0.9505589414333672,0.6174856667531281,0.4752794707166836,0.0012842648084169666,24,True
bc_s10,GradDot+HL+datamodel,borda,C5,leave_one_mask_out,0.5652173913043478,0.9380881188989534,0.6025205734059941,0.4690440594494767,0.0020004547501146787,24,True
bc_s10,GradDot+HL+datamodel,zscore_avg,C1,leave_one_mask_out,0.548695652173913,0.9505589414333672,0.577234749216628,0.4752794707166836,0.002747740943090049,24,True
bc_s10,GradDot+HL+datamodel,zscore_avg,C5,leave_one_mask_out,0.6713043478260868,0.9380881188989534,0.7156090502606576,0.4690440594494767,0.00016453278436887045,24,True
bc_s10,GradDot+HL+datamodel,median_rank,C1,leave_one_mask_out,0.5869565217391304,0.9505589414333672,0.6174856667531281,0.4752794707166836,0.0012842648084169666,24,True
bc_s10,GradDot+HL+datamodel,median_rank,C5,leave_one_mask_out,0.3739130434782608,0.9380881188989534,0.398590533176273,0.4690440594494767,0.03593503688402976,24,False
bc_s10,all4,borda,C1,leave_one_mask_out,0.5930434782608696,0.9505589414333672,0.6238892218157532,0.4752794707166836,0.0011281029205193718,24,True
bc_s10,all4,borda,C5,leave_one_mask_out,0.47043478260869553,0.9380881188989534,0.5014825080194504,0.4690440594494767,0.010172293468245231,24,True
bc_s10,all4,zscore_avg,C1,leave_one_mask_out,0.5869565217391304,0.9505589414333672,0.6174856667531281,0.4752794707166836,0.0012842648084169666,24,True
bc_s10,all4,zscore_avg,C5,leave_one_mask_out,0.606086956521739,0.9380881188989534,0.646087445636889,0.4690440594494767,0.0008470468129655544,24,True
bc_s10,all4,median_rank,C1,leave_one_mask_out,0.5895652173913043,0.9505589414333672,0.6202300474942531,0.4752794707166836,0.0012152275956462046,24,True
bc_s10,all4,median_rank,C5,leave_one_mask_out,0.36,0.9380881188989534,0.38375925752320245,0.4690440594494767,0.04199734822576263,24,False
bc_s10,gradients_only,borda,C1,direct,0.5947826086956521,0.9505589414333672,0.6257188089765032,0.4752794707166836,0.0010865719922762468,24,True
bc_s10,gradients_only,borda,C5,direct,0.3756521739130434,0.9380881188989534,0.4004444426329068,0.4690440594494767,0.03522680844687852,24,False
bc_s10,gradients_only,zscore_avg,C1,direct,0.6165217391304347,0.9505589414333672,0.6485886484858783,0.4752794707166836,0.0006675087990932715,24,True
bc_s10,gradients_only,zscore_avg,C5,direct,0.4026086956521739,0.9380881188989534,0.4291800392107312,0.4690440594494767,0.025556251269072603,24,False
bc_s10,gradients_only,median_rank,C1,direct,0.5896934255514349,0.9505589414333672,0.6203649240963681,0.4752794707166836,0.0012119176142248987,24,True
bc_s10,gradients_only,median_rank,C5,direct,0.3408695652173913,0.9380881188989534,0.36336625350023033,0.4690440594494767,0.051549603055612646,24,False
