target,draw,n,graddot_lds,estimator_lds,delta
C5,G,24,0.36347826086956525,0.5895652173913043,0.22608695652173905
C5,H,24,-0.06608695652173913,0.3173913043478261,0.3834782608695652
C5,I,24,0.48869565217391303,0.6234782608695651,0.13478260869565212
C5,J,24,0.17478260869565218,0.5156521739130434,0.3408695652173912
C5,K,24,-0.03217391304347826,-0.20347826086956516,-0.1713043478260869
C5,L,24,0.14260869565217388,0.21739130434782608,0.0747826086956522
C7,G,24,0.31913043478260866,0.39739130434782605,0.07826086956521738
C7,H,24,-0.21913043478260866,0.36173913043478256,0.5808695652173912
C7,I,24,0.16086956521739126,0.39652173913043476,0.2356521739130435
C7,J,24,0.37304347826086953,0.14869565217391303,-0.2243478260869565
C7,K,24,0.12956521739130433,0.4156521739130434,0.28608695652173904
C7,L,24,0.13739130434782607,0.40956521739130425,0.27217391304347816
