target,ceiling,GradDot_ALL,GradDot_head,TracIn_head_last5_lr,KFAC_embed_1e-4,datamodel_LOO,draw
C1,0.895436146451903,0.1310995818216409,0.11847517764622362,0.23403703125196634,0.3301767245878363,0.5253694353000572,boot0
C1,0.9539907526718714,0.36642411513137446,0.36642411513137446,0.48309647019808066,0.0063805194177105,0.8221755021106958,boot1
C1,0.9633079705090093,0.447732564278677,0.4396083846849107,0.5506388391330503,0.1372083664724978,,boot2
C1,0.9238167740497985,0.3623907013812305,0.3623907013812305,0.6617160079766363,0.06871304208007746,0.6551270861333414,boot3
C1,0.9561496401633853,0.38105732699402295,0.3701439906600652,0.4992851372785646,0.10913336333957697,0.3492267626866463,boot4
C1,0.9588722193481635,0.3310047970349867,0.3310047970349867,0.3636518455096703,0.1695832795768288,0.658382144239453,boot5
C1,0.9200026832231472,0.4215488650509232,0.4206036882234548,0.3081276457547107,0.18147395087394003,0.20982925569799318,boot6
C1,0.9570925265495164,0.2970954408264784,0.2889185020881349,0.4733538980752147,0.17807555474614606,0.31254076955446036,boot7
C1,0.9420075570888777,0.35631579745530095,0.34985411200922045,0.246467144871931,0.2750831804188593,0.5233965211325275,boot8
C1,0.964312007261967,0.5239148610612492,0.5194061273171765,0.6195000164355907,0.25789957016095916,,boot9
C1,0.9273738054171694,0.29255123041139114,0.29255123041139114,0.4547671370177074,-0.24004203520934658,0.3506864108136548,boot10
C1,0.9429183187367546,0.3227722062868574,0.3227722062868574,0.5404128939545669,0.20934083093461894,0.7432982807634486,boot11
C1,0.9318806713892922,0.2202185296947944,0.2202185296947944,0.33965908817332696,0.30606643110123966,,boot12
C1,0.9273460141910124,0.21566922911128672,0.21566922911128672,0.4013323046070901,0.23160999821951223,0.5926215339057965,boot13
C1,0.953907685421487,0.485873285175154,0.485873285175154,0.46673006005568257,0.17137744392669593,,boot14
C1,0.9566682507452369,0.45629374528776073,0.4490221318170394,0.40539245099271176,-0.2617780849459663,0.6399019854234733,boot15
C1,0.9118844149407506,0.15638900425931704,0.15638900425931704,0.4691670127779512,0.10870942979001309,0.1754608340470387,boot16
C1,0.9115002366303833,0.2184644904961849,0.20701656959682152,0.17076482008217075,0.043883696780893044,,boot17
C1,0.9143180396285154,0.36710658585432465,0.36425342586063825,0.3024349593307649,-0.13600062636572133,,boot18
C1,0.9615694705724267,0.29390356526599754,0.28486037864242836,0.4322643206066055,0.22155807227744428,0.33459790507205867,boot19
C1,0.9366659450574044,0.20609639891310313,0.19588441518317457,0.37691503585008945,-0.14296777221899945,0.46418107863311514,boot20
C1,0.9403440773717024,0.4531181370468865,0.45219340615495407,0.5086019905628317,0.20898918157672722,0.607548195999601,boot21
C1,0.9569010819721696,0.2862501136624562,0.2862501136624562,0.46708748705556336,-0.005452383117380118,0.6124843701856999,boot22
C1,0.9223681128055243,0.4911742632590237,0.4911742632590237,0.5251133678220272,0.08013399688486951,0.802282721753223,boot23
C1,0.9284089942648804,0.550731790605864,0.546048697148331,0.5348092728502523,0.2800489887604648,,boot24
C1,0.9373950411768588,0.4434119615047356,0.4424843214179057,0.6762496232990635,0.2541733837914175,,boot25
