target,n_members,n_demos,excess_kurtosis_median,excess_kurtosis_p90,excess_kurtosis_max,frac_demos_kurtosis_gt_1,maxmin_over_absmean_median,maxmin_over_absmean_p90,estimator,normalize,tier
C1,20,135,-0.7642592314945942,2.1754446821698696,6.187406135161691,0.14074074074074075,9.1727786830292,73.48245736012647,GradDot,unitL2,bc_s10
C5,20,135,-0.9606673940926527,2.7098826134295937,7.405462733580787,0.17037037037037037,11.541233779110712,82.14283832011319,GradDot,unitL2,bc_s10
C1,20,135,3.27578954071838,9.477628911316307,16.827945912626742,0.8592592592592593,18.3378574400181,107.87452448902684,GradDot,dmean,bc_s10
C5,20,135,2.1039337578735813,6.079625660245363,9.901241739553301,0.725925925925926,12.189790940100764,40.01468282376439,GradDot,dmean,bc_s10
C1,20,135,3.3399401980606456,9.619480808842637,16.924714351032424,0.8518518518518519,18.79096059860021,105.07337766742965,IF,none,bc_s10
C5,20,135,2.1476864597931673,6.065980016140232,9.65428249474804,0.725925925925926,12.210234011991862,44.204239762703345,IF,none,bc_s10
C1,20,135,4.453613264392179,11.530849056545806,15.618111177235708,0.9037037037037037,17.423568457557757,88.8876526333287,TRAK,none,bc_s10
C5,20,135,3.772795262096671,10.855729342850946,16.93970216647388,0.8814814814814815,19.114137171190112,102.56019595162158,TRAK,none,bc_s10
