stage,grain,target,outcome,ceiling_conditional,ceiling_conditional_sb,ci_lo,ci_hi,n_masks,ceiling_depth2_only_NOT_COMPUTABLE,ceiling_allmasks_INFLATED_BY_EXCLUSION,n_masks_all
ceiling,cluster,C1,neg_plain_loss,0.5079365079365079,0.6736842105263158,-0.029596555112421253,0.812025316455696,8,,0.8526315789473685,12
ceiling,cluster,C2,neg_plain_loss,0.27450980392156865,0.43076923076923085,-0.3333333333333333,1.0,6,,0.8877192982456141,12
ceiling,cluster,C3,neg_plain_loss,0.8424242424242424,0.9144736842105263,0.39622641509433976,1.0,7,,0.9321637426900585,12
ceiling,cluster,C4,neg_plain_loss,0.27450980392156865,0.43076923076923085,-0.5053763440860216,0.9333333333333335,6,,0.8900584795321639,12
ceiling,cluster,C5,neg_plain_loss,0.5636363636363636,0.7209302325581396,0.1333333333333334,0.9215686274509803,7,,0.8362573099415206,12
ceiling,cluster,C6,neg_plain_loss,0.12380952380952381,0.22033898305084745,-0.5555555555555555,0.8666666666666667,6,,0.8666666666666667,12
ceiling,cluster,C7,neg_plain_loss,0.8431372549019609,0.9148936170212767,0.3333333333333333,1.0,6,,0.9111111111111111,12
ceiling,cluster,C8,neg_plain_loss,0.8253968253968255,0.9043478260869565,0.39240506329113933,0.9743589743589745,8,,0.9415204678362574,12
ceiling,cluster,C9,neg_plain_loss,0.2380952380952381,0.38461538461538464,-0.6969696969696968,0.9466666666666667,6,,0.7941520467836258,12
