lambda_rel,target,estimator,lds,ceiling,ratio,p
0.001,C1,surrogate_LOO,0.32608695652173914,0.9505589414333672,0.3430475926406268,0.059964581129582424
0.001,C5,surrogate_LOO,0.5226086956521738,0.9380881188989534,0.5570997917184652,0.004396377829827393
0.001,C2,surrogate_LOO,0.18869565217391301,0.927024325224925,0.2035498390272872,0.1886078175923628
0.01,C1,surrogate_LOO,0.24608695652173912,0.9505589414333672,0.25888658324612634,0.12319732422242417
0.01,C5,surrogate_LOO,0.5182608695652173,0.9380881188989534,0.5524650180768808,0.004738096083736345
0.01,C2,surrogate_LOO,0.2226086956521739,0.927024325224925,0.24013252899071671,0.147889211267211
0.1,C1,surrogate_LOO,-0.005217391304347826,0.9505589414333672,-0.005488761482250028,0.5096516583732105
0.1,C5,surrogate_LOO,0.2052173913043478,0.9380881188989534,0.21876131588279168,0.16803044483727642
0.1,C2,surrogate_LOO,0.28521739130434776,0.927024325224925,0.30766980276935574,0.08835698452439676
1.0,C1,surrogate_LOO,0.46347826086956523,0.9505589414333672,0.4875849783398775,0.011272486426091563
1.0,C5,surrogate_LOO,0.01217391304347826,0.9380881188989534,0.012977366196436798,0.4774885423248923
1.0,C2,surrogate_LOO,0.28782608695652173,0.927024325224925,0.3104838558434658,0.08630774969135972
,C1,GradDot_head_regenE5,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242
,C5,GradDot_head_regenE5,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058
,C2,GradDot_head_regenE5,0.29739130434782607,0.927024325224925,0.3208020504485356,0.07907713029769793
