group,lam_rel,method,frac_preconditioned,target,lds,ceiling,ratio,p,n,passed
ALL,0.0,none,0.7520680242331597,C1,0.4834782608695652,0.9505589414333672,0.5086252306885026,0.008344281658814063,24,True
ALL,0.0,none,0.7520680242331597,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
ALL,0.0001,kfac,0.7520680242331597,C1,0.3356521739130434,0.9505589414333672,0.35311032202475173,0.054413332947234855,24,False
ALL,0.0001,kfac,0.7520680242331597,C5,0.3817391304347826,0.9380881188989534,0.4069331257311253,0.032831576128223114,24,False
ALL,0.01,kfac,0.7520680242331597,C1,0.3356521739130434,0.9505589414333672,0.35311032202475173,0.054413332947234855,24,False
ALL,0.01,kfac,0.7520680242331597,C5,0.3817391304347826,0.9380881188989534,0.4069331257311253,0.032831576128223114,24,False
ALL,1.0,kfac,0.7520680242331597,C1,0.3356521739130434,0.9505589414333672,0.35311032202475173,0.054413332947234855,24,False
ALL,1.0,kfac,0.7520680242331597,C5,0.3817391304347826,0.9380881188989534,0.4069331257311253,0.032831576128223114,24,False
ALL,100.0,kfac,0.7520680242331597,C1,0.3356521739130434,0.9505589414333672,0.35311032202475173,0.054413332947234855,24,False
ALL,100.0,kfac,0.7520680242331597,C5,0.3817391304347826,0.9380881188989534,0.4069331257311253,0.032831576128223114,24,False
ALL,10000.0,kfac,0.7520680242331597,C1,0.3356521739130434,0.9505589414333672,0.35311032202475173,0.054413332947234855,24,False
ALL,10000.0,kfac,0.7520680242331597,C5,0.3817391304347826,0.9380881188989534,0.4069331257311253,0.032831576128223114,24,False
ALL,0.0001,ekfac,0.7520680242331597,C1,0.3878260869565217,0.9505589414333672,0.40799793684725205,0.03056315504004058,24,False
ALL,0.0001,ekfac,0.7520680242331597,C5,0.40086956521739125,0.9380881188989534,0.42732612975409734,0.02610973041064812,24,False
ALL,0.01,ekfac,0.7520680242331597,C1,0.3878260869565217,0.9505589414333672,0.40799793684725205,0.03056315504004058,24,False
ALL,0.01,ekfac,0.7520680242331597,C5,0.40086956521739125,0.9380881188989534,0.42732612975409734,0.02610973041064812,24,False
ALL,1.0,ekfac,0.7520680242331597,C1,0.3878260869565217,0.9505589414333672,0.40799793684725205,0.03056315504004058,24,False
ALL,1.0,ekfac,0.7520680242331597,C5,0.38260869565217387,0.9380881188989534,0.40786008045944216,0.032499849678470485,24,False
ALL,100.0,ekfac,0.7520680242331597,C1,0.3921739130434782,0.9505589414333672,0.4125719047491271,0.02901816943512534,24,False
ALL,100.0,ekfac,0.7520680242331597,C5,0.38260869565217387,0.9380881188989534,0.40786008045944216,0.032499849678470485,24,False
ALL,10000.0,ekfac,0.7520680242331597,C1,0.3921739130434782,0.9505589414333672,0.4125719047491271,0.02901816943512534,24,False
ALL,10000.0,ekfac,0.7520680242331597,C5,0.38260869565217387,0.9380881188989534,0.40786008045944216,0.032499849678470485,24,False
head,0.0,none,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,0.0,none,0.9721765107977417,C5,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058,24,False
head,0.0001,kfac,0.9721765107977417,C1,0.47913043478260864,0.9505589414333672,0.5040512627866275,0.008921139192505636,24,True
head,0.0001,kfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,0.01,kfac,0.9721765107977417,C1,0.4765217391304347,0.9505589414333672,0.5013068820455026,0.009282557507176999,24,True
