name,target,statistic,primary,n_masks,depth,lds,graddot_lds,ceiling,ratio,p_abs,alpha_abs,paired_delta,paired_p,ci_lo,ci_hi,ci_width,PASS_abs,PASS_paired
M1_relatif_lin_unitL2_C5,C5,kendall_tau_b,True,144,2,0.283993783993784,0.19930069930069932,0.6879062061934497,0.412837944238463,2.2037893193571476e-07,0.05,0.08469308469308467,0.0312,-0.003916820225283037,0.17075565380417632,0.17467247402945935,False,True
M1_relatif_lin_unitL2_C5,C5,spearman,False,144,2,0.41248291937947107,0.30135439273370307,0.8439639371757912,0.48874472143891384,1.3938324947896802e-07,0.05,0.111128526645768,0.0412,-0.013201072049398953,0.23142297830677575,0.2446240503561747,False,True
