source,kind,A,B,lds_A,lds_B,ceil_A,ceil_B,ratio_A,ratio_B,log_gap,estimator_term,ceiling_term,ceiling_share,abs_ceiling_term,material,DENOMINATOR_DRIVEN,ceiling_spread_pct
b7_diffusion.csv,auto,TracIn_trunc_k1,TracIn,0.1991304347826086,0.1991304347826086,0.82979067062928,0.8444377100886411,0.23997670958579959,0.23581423757319622,0.017497509090630504,0.0,0.017497509090630504,1.0,0.017497509090630504,False,False,1.7345316634217542
b4_tracin.csv,auto,TracIn,TracIn_trunc_k5,0.2060869565217391,0.2060869565217391,0.9380881188989534,0.9505589414333672,0.21968827061110863,0.2168060785488761,0.013206282999700305,0.0,0.013206282999700305,1.0,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn_trunc_k1,TracIn,0.3704347826086955,0.3704347826086955,0.9505589414333672,0.9380881188989534,0.3897020652397518,0.39488271426300525,-0.013206282999700376,0.0,-0.013206282999700376,1.0,0.013206282999700376,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn_trunc_k1,0.3513043478260869,0.3513043478260869,0.9380881188989534,0.9505589414333672,0.37448971024003325,0.3695766064715018,0.013206282999700305,0.0,0.013206282999700305,1.0,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn_trunc_k1,TracIn,0.2617391304347826,0.2617391304347826,0.9505589414333672,0.9380881188989534,0.27535286769287637,0.27901337322339115,-0.013206282999700376,0.0,-0.013206282999700376,1.0,0.013206282999700376,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn_trunc_k5,0.3443478260869564,0.3443478260869564,0.9380881188989534,0.9505589414333672,0.3670740724134979,0.36225825782850174,0.013206282999700305,0.0,0.013206282999700305,1.0,0.013206282999700305,False,False,1.3119462655949325
b3_kfac.csv,auto,ekfac,none,0.3878260869565217,0.3878260869565217,0.9505589414333672,0.9380881188989534,0.40799793684725205,0.41342180882934365,-0.013206282999700376,0.0,-0.013206282999700376,1.0,0.013206282999700376,False,False,1.3119462655949325
b7_diffusion.csv,auto,TracIn_trunc_k1,TracIn,0.1617391304347825,0.1617391304347825,0.82979067062928,0.8444377100886411,0.19491558071161008,0.19153470824722482,0.017497509090630504,0.0,0.017497509090630504,1.0,0.017497509090630504,False,False,1.7345316634217542
b7_diffusion.csv,auto,TracIn,TracIn_trunc_k5,0.1382608695652173,0.1382608695652173,0.8444377100886411,0.82979067062928,0.16373128285649866,0.16662138351153766,-0.017497509090630494,0.0,-0.017497509090630494,1.0,0.017497509090630494,False,False,1.7345316634217542
b3_kfac.csv,auto,ekfac,none,0.3878260869565217,0.3878260869565217,0.9505589414333672,0.9380881188989534,0.40799793684725205,0.41342180882934365,-0.013206282999700376,0.0,-0.013206282999700376,1.0,0.013206282999700376,False,False,1.3119462655949325
