estimator,grain,campaign,statistic,primary,n_masks,n_coef,masks_per_coef,regime,depth,retained_demos,lds,graddot_lds,ceiling,ratio,graddot_ratio,ratio_sqrt,paired_delta,paired_p,ci_lo,ci_hi,alpha_n_distinct,perm_control_mean,perm_control_max_abs,note
datamodel_ridge,k=3,O,kendall_tau_b,True,400,45,8.89,over-determined,2,75,0.39258145363408525,0.13383458646616544,0.3759361771409964,1.0442768680037036,0.35600347772853536,0.6402841016590555,0.25874686716791984,0.0,0.18520063218277358,0.32863036333395423,1,-0.03895739348370929,0.15077694235588976,"LOO over masks, alpha refit inside every fold; fixed training-set size so the #41 size channel cannot operate. Over-determined -- says nothing about the p >> n regime the demo-grain result lived in."
datamodel_ridge,k=3,O,spearman,False,400,45,8.89,over-determined,2,75,0.558503740648379,0.19985599909999435,0.5095573832843394,1.0960566149558213,0.3922149019053114,0.7824012521815301,0.3586477415483847,0.0,0.2540283055331931,0.4582554928051504,1,-0.03895739348370929,0.15077694235588976,"LOO over masks, alpha refit inside every fold; fixed training-set size so the #41 size channel cannot operate. Over-determined -- says nothing about the p >> n regime the demo-grain result lived in."
datamodel_ridge,k=5,O,kendall_tau_b,True,400,27,14.81,over-determined,2,75,0.4188721804511279,0.1410526315789474,0.38624873609706784,1.084462268236035,0.365186001653348,0.6739815093257411,0.2778195488721805,0.0,0.2086329878813374,0.34542929597516947,2,-0.05982957393483709,0.20085213032581456,"LOO over masks, alpha refit inside every fold; fixed training-set size so the #41 size channel cannot operate. Over-determined -- says nothing about the p >> n regime the demo-grain result lived in."
datamodel_ridge,k=5,O,spearman,False,400,27,14.81,over-determined,2,75,0.5930917068231676,0.21203138769617308,0.5171126501415448,1.146929410179437,0.4100293961830861,0.8247631911579294,0.3810603191269945,0.0,0.28379443116489506,0.4765837840746578,2,-0.05982957393483709,0.20085213032581456,"LOO over masks, alpha refit inside every fold; fixed training-set size so the #41 size channel cannot operate. Over-determined -- says nothing about the p >> n regime the demo-grain result lived in."
