target,K,estimator,lds_mean,lds_sd,n_ok
C1,6,GradDot,0.10571428571428572,0.5047610062885086,20
C1,6,plain_lasso,-0.6028571428571429,0.6348967455823195,20
C1,6,plain_ridge,-0.5685714285714286,0.4442742304441422,20
C1,6,adaptive_lasso,-0.18,0.6171097874737674,20
C1,6,kernel_ridge,-0.1285714285714286,0.7060959060718514,20
C1,6,priormean_ridge,-0.5685714285714286,0.4442742304441422,20
C1,9,GradDot,0.2458333333333333,0.35889007137748086,20
C1,9,plain_lasso,-0.4041666666666667,0.6841433207547475,20
C1,9,plain_ridge,-0.42666666666666664,0.4499197459300689,20
C1,9,adaptive_lasso,-0.5366666666666665,0.6276410863967825,20
C1,9,kernel_ridge,-0.08666666666666667,0.5798131883057968,20
C1,9,priormean_ridge,-0.42666666666666664,0.4499197459300689,20
C1,12,GradDot,0.22552447552447555,0.293871706667146,20
C1,12,plain_lasso,-0.49685314685314685,0.6436510234074775,20
C1,12,plain_ridge,-0.3034965034965035,0.499588563665519,20
C1,12,adaptive_lasso,-0.15244755244755243,0.7285948176681782,20
C1,12,kernel_ridge,0.05979020979020979,0.43154545335560884,20
C1,12,priormean_ridge,-0.3034965034965035,0.499588563665519,20
C1,16,GradDot,0.3766176470588235,0.1441940823716544,20
C1,16,plain_lasso,-0.4766176470588236,0.6610221160364252,20
C1,16,plain_ridge,-0.10720588235294118,0.40234657180201056,20
C1,16,adaptive_lasso,-0.35897058823529415,0.7285226287413695,20
C1,16,kernel_ridge,0.04558823529411765,0.4076533188552528,20
C1,16,priormean_ridge,-0.10720588235294118,0.40234657180201056,20
C1,20,GradDot,0.21345864661654135,0.173225299402217,20
C1,20,plain_lasso,-0.5945112781954887,0.7068926899768763,20
C1,20,plain_ridge,-0.0757142857142857,0.34238566547089877,20
C1,20,adaptive_lasso,-0.31052631578947365,0.7436911241994312,20
C1,20,kernel_ridge,0.06210526315789472,0.34187469715282853,20
C1,20,priormean_ridge,-0.0757142857142857,0.34238566547089877,20
C1,24,GradDot,0.22543478260869562,0.16222621257173148,20
C1,24,plain_lasso,-0.6481304347826087,0.6154630190257411,20
C1,24,plain_ridge,-0.20569565217391297,0.29023482768008335,20
C1,24,adaptive_lasso,-0.10343478260869562,0.6405799873761613,20
C1,24,kernel_ridge,-0.007652173913043478,0.2942886203380815,20
C1,24,priormean_ridge,-0.20569565217391297,0.29023482768008335,20
C2,6,GradDot,0.08000000000000003,0.3535937943863996,20
C2,6,plain_lasso,-0.4058185665170841,0.6288915394413757,20
C2,6,plain_ridge,-0.6371428571428572,0.2904043627040596,20
C2,6,adaptive_lasso,-0.3171428571428571,0.7654743760624279,20
C2,6,kernel_ridge,-0.47714285714285715,0.47407051916656573,20
C2,6,priormean_ridge,-0.6371428571428572,0.2904043627040596,20
C2,9,GradDot,0.11250000000000002,0.2707435748699003,20
C2,9,plain_lasso,-0.14166666666666666,0.7381941178007013,20
C2,9,plain_ridge,-0.24416666666666664,0.543759418820084,20
C2,9,adaptive_lasso,-0.4125,0.7348634604847051,20
C2,9,kernel_ridge,-0.1625,0.6666432287546649,20
C2,9,priormean_ridge,-0.24416666666666664,0.543759418820084,20
C2,12,GradDot,0.08426573426573428,0.2292648037470545,20
C2,12,plain_lasso,-0.3594405594405594,0.7270689601578911,20
C2,12,plain_ridge,-0.21818181818181817,0.43297161995701283,20
C2,12,adaptive_lasso,-0.16608391608391604,0.7081982042918347,20
C2,12,kernel_ridge,-0.13671328671328672,0.5003225278893018,20
C2,12,priormean_ridge,-0.21818181818181817,0.43297161995701283,20
C2,16,GradDot,-0.02220588235294118,0.1911911193482769,20
C2,16,plain_lasso,-0.24705882352941178,0.7198189170592847,20
C2,16,plain_ridge,0.08485294117647059,0.4464733734315978,20
C2,16,adaptive_lasso,-0.3901470588235294,0.6910514749303848,20
C2,16,kernel_ridge,0.1464705882352941,0.4818519636557401,20
C2,16,priormean_ridge,0.08485294117647059,0.4464733734315978,20
C2,20,GradDot,0.01105263157894737,0.13543378005308523,20
C2,20,plain_lasso,-0.17586466165413533,0.7066258817848281,20
C2,20,plain_ridge,0.02285714285714286,0.4022177200875446,20
C2,20,adaptive_lasso,-0.27,0.6663837241361346,20
C2,20,kernel_ridge,0.1679699248120301,0.3619246483334442,20
C2,20,priormean_ridge,0.02285714285714286,0.4022177200875446,20
C2,24,GradDot,0.10278260869565217,0.15700688099739224,20
C2,24,plain_lasso,0.15121739130434783,0.6872905021928768,20
C2,24,plain_ridge,0.3238695652173913,0.31543524405923157,20
C2,24,adaptive_lasso,0.24343478260869564,0.5546930877071522,20
C2,24,kernel_ridge,0.3844347826086955,0.2933355401761518,20
C2,24,priormean_ridge,0.3238695652173913,0.31543524405923157,20
C5,6,GradDot,0.37142857142857155,0.4249369701160734,20
C5,6,plain_lasso,-0.44457770053354995,0.5952998241838269,20
C5,6,plain_ridge,-0.5542857142857143,0.49407923019925226,20
C5,6,adaptive_lasso,-0.4514285714285714,0.6310082634731724,20
C5,6,kernel_ridge,-0.16285714285714287,0.5197409087659908,20
C5,6,priormean_ridge,-0.5542857142857143,0.49407923019925226,20
C5,9,GradDot,0.3783333333333333,0.25663960896340393,20
C5,9,plain_lasso,-0.7687607147191138,0.49454715333950205,20
C5,9,plain_ridge,-0.36999999999999994,0.5737450072404406,20
C5,9,adaptive_lasso,-0.4716666666666667,0.7447986305035744,20
C5,9,kernel_ridge,-0.2699999999999999,0.5959725944482123,20
C5,9,priormean_ridge,-0.36999999999999994,0.5737450072404406,20
C5,12,GradDot,0.21293706293706297,0.34921983986079413,20
C5,12,plain_lasso,-0.5027972027972027,0.6235233423871461,20
C5,12,plain_ridge,-0.1618881118881119,0.5170536637266606,20
C5,12,adaptive_lasso,-0.3101398601398601,0.6952549928697199,20
C5,12,kernel_ridge,-0.070979020979021,0.5385717578593723,20
C5,12,priormean_ridge,-0.1618881118881119,0.5170536637266606,20
C5,16,GradDot,0.38426470588235295,0.22373882412018958,20
C5,16,plain_lasso,0.14999999999999997,0.679518708160772,20
C5,16,plain_ridge,0.2039705882352941,0.4795374023391862,20
C5,16,adaptive_lasso,0.1883823529411765,0.7031309582600299,20
C5,16,kernel_ridge,0.2705882352941177,0.42779611448788807,20
C5,16,priormean_ridge,0.2039705882352941,0.4795374023391862,20
C5,20,GradDot,0.31112781954887214,0.1822553289160863,20
C5,20,plain_lasso,0.611954887218045,0.1660251679103833,20
