target,contam_head,contam_cached,ceiling,outcome_var,datamodel_lds,best_leverage_delta,sign_consistent
C1,0.571491561798849,0.6018222612428057,0.9410990938322127,0.012023159635280466,0.15130434782608695,0.0651488841726156,False
C2,0.7088479172763634,0.7781601794946835,0.9250422861212498,0.0057199545583224405,0.588695652173913,0.3033635603575793,True
C3,0.1887415861867135,0.3242942151985173,0.7594656027807147,0.008798473913525852,,0.3033635603575793,False
C4,0.9111608623548924,0.7063866939810751,0.9021479713603818,0.009384481076345767,0.6252173913043478,0.1463759727313653,True
C5,0.8076129158130916,0.6939844893181154,0.9201515812066131,0.0051634227561205386,0.786086956521739,0.2433918579972988,True
C6,0.7389308360159985,0.7097000292654376,0.9692225063756682,0.006021082217512582,0.4660869565217391,0.0561129333076081,False
C7,0.8426485220954054,0.7201216954443469,0.9387064523571482,0.016513789556374104,,0.316033185413853,True
C8,0.6916447175885281,0.7652438786459859,0.9458981689618298,0.004272931748166686,,0.3864878770338929,True
C9,0.8478080187298801,0.682414154716613,0.9192414551828302,0.0031400243134305506,0.23391304347826083,0.1290436684031127,False
