target,common_seed,common_init,independent
C1,0.5595238095238096,0.5991666666666667,0.5292976190476192
C2,0.634920634920635,0.6719523809523811,0.6411190476190477
C3,0.4834656084656085,0.5355714285714287,0.4517738095238096
C4,0.5793650793650794,0.5861190476190477,0.5585119047619048
C5,0.6600529100529101,0.707059523809524,0.7453333333333335
C6,0.8750000000000001,0.8875238095238096,0.862059523809524
C7,0.771825396825397,0.7995357142857145,0.7957738095238096
C8,0.6025132275132276,0.5984166666666667,0.5232500000000001
C9,0.6078042328042329,0.5921785714285714,0.6175714285714287
