target,statistic,n_masks,reliability_halfsplit,reliability_sd,null_mean,null_sd,resolution
C5,spearman,24,0.8984660869565216,0.046060269546528115,0.0011947826086956504,0.19856973331490513,4.51867104502212
C5,kendall_tau_b,24,0.7631014492753623,0.06272323374855658,-0.006782608695652173,0.14477205217073705,5.3179052615973905
C5,pearson_raw,24,0.9112437920254022,0.0353586772664884,-0.005456846812461525,0.19881362288410753,4.610854254047908
C5,pearson_on_ranks,24,0.899902608695652,0.04677584128620506,0.018685217391304347,0.20460077121873882,4.3070091381143305
C5,top6_overlap,24,0.8203333333333334,0.11264862519734113,0.253,0.15912076109357878,3.565426217385204
C5,quartile_gap,24,2.278115834441884,0.1512959081723712,0.034360904427007136,0.5963220414518172,3.762656373647011
C7,spearman,24,0.8971878260869565,0.047889296146831496,0.011010434782608696,0.2024406051593216,4.377468594341153
C7,kendall_tau_b,24,0.7553333333333333,0.061144436915051954,-0.003507246376811595,0.1428530893841961,5.312034783296018
C7,pearson_raw,24,0.9260542888846938,0.030922907384159346,0.00817281612980169,0.21353107541640942,4.298584976284697
C7,pearson_on_ranks,24,0.9015199999999999,0.044551334836209024,-0.013177391304347825,0.21441066553631352,4.266100238140582
C7,top6_overlap,24,0.7786666666666667,0.13309263511278435,0.2596666666666666,0.15744671423862094,3.2963533250584143
C7,quartile_gap,24,2.2506495661916532,0.13422156656791312,-0.01747257812421835,0.5777116668445565,3.9260452479768766
