where,target,weighting,lds,ceiling,ratio
dev (archived masks),C1,plain,0.44695652173913036,0.9410990938322127,0.474930349703235
dev (archived masks),C1,rollout,0.08086956521739129,0.9224482511164075,0.08766840320800395
dev (archived masks),C1,rollout_q75,0.06869565217391303,0.9436196155766896,0.07280015277335025
dev (archived masks),C5,plain,0.34434782608695647,0.9201515812066131,0.3742294564504321
dev (archived masks),C5,rollout,-0.27304347826086955,0.9600640181432584,-0.28440132439181437
dev (archived masks),C5,rollout_q75,-0.07826086956521738,0.9421774791118379,-0.08306382958653558
I-series (fresh),C1,plain,-0.08956521739130434,0.9392930084109893,-0.09535386358599927
I-series (fresh),C1,rollout,0.15391304347826085,0.9600640181432584,0.16031539623360233
I-series (fresh),C1,rollout_q75,0.015652173913043476,0.9612828765797603,0.016282588917773958
I-series (fresh),C5,plain,0.48956521739130426,0.9614689945815773,0.5091846124526965
I-series (fresh),C5,rollout,0.0017391304347826085,0.9810234069260872,0.0017727716000497417
I-series (fresh),C5,rollout_q75,-0.07739130434782608,0.966741778145412,-0.0800537497161784
