prereg,rung,statistic,primary,n_masks,depth,partition,lds,ceiling,ratio,ratio_ci_lo,ratio_ci_hi,ratio_sqrt,campaignO_ratio,campaignO_ci_lo,campaignO_ci_hi,ratio_diff_vs_O,AGREES_inside_O_CI,alpha,perm_null_mean,perm_null_p97.5,beats_perm_null,CLEARS_BAR_descriptive,partial_score
R1,k=3,kendall_tau_b,True,400,2,second (group_seed 20260730),0.07814536340852131,0.39161543887937117,0.19954617630024626,0.043597951351366765,0.37099723847144034,0.12487437072419467,0.3560034777285353,0.1798242442696387,0.5498848898733413,-0.15645730142828904,True,0.025,-8.300751879699253e-05,0.06368609022556392,True,False,False
R1,k=3,spearman,False,400,2,second (group_seed 20260730),0.11463690398064988,0.530764266769881,0.2159845927049796,0.04132992159892682,0.40288528000707996,0.1573524865237932,0.3922149019053114,0.2002411975401707,0.5949087372014106,-0.17623030920033178,True,0.025,-8.999953124707005e-05,0.09517518234488957,True,False,False
R2,k=5,kendall_tau_b,True,400,2,second (group_seed 20260730),0.13619047619047622,0.42575605137006567,0.319879132080967,0.17154395196454392,0.4908478645214106,0.20872108499503145,0.365186001653348,0.2039559816363849,0.5588889738244573,-0.045306869572381,True,0.025,-0.0011973433583959902,0.06418609022556392,True,False,False
R2,k=5,spearman,False,400,2,second (group_seed 20260730),0.20548047175294845,0.5692318175501626,0.36097854234024934,0.19576759512578423,0.5434462501297019,0.27234911634291403,0.4100293961830861,0.2318639528396309,0.6135066391896271,-0.04905085384283675,True,0.025,-0.0017561907261920385,0.09560708191926194,True,False,False
