target,focal,estimator,family,rho,ceiling,bar,ratio,p_onesided,PASS
C1,True,TracIn_E20_normalized,CHAMPION,0.40869565217391296,0.9505589414333672,0.4752794707166836,0.4299529827762521,0.02369066876977094,False
C1,True,GradDot_E20_normalized,SECONDARY,0.5130434782608695,0.9505589414333672,0.4752794707166836,0.5397282124212527,0.005176914080912385,True
C1,True,TracIn_E20_unnormalized,descriptive,0.41913043478260864,0.9505589414333672,0.4752794707166836,0.4409305057407522,0.020741848543921828,
C1,True,GradDot_E20_dmean,descriptive,0.5930434782608696,0.9505589414333672,0.4752794707166836,0.6238892218157532,0.0011281029205193718,
C1,True,IF_E20_normalized,descriptive,0.44434782608695644,0.9505589414333672,0.4752794707166836,0.4674595195716273,0.014800473665558403,
C1,True,IF_E20_unnormalized,descriptive,0.3217391304347825,0.9505589414333672,0.4752794707166836,0.33847362473875164,0.06261972933243162,
C1,True,TRAK_E20_normalized,descriptive,-0.1243478260869565,0.9505589414333672,0.4752794707166836,-0.13081548199362567,0.7186756291558418,
C1,True,TRAK_E20_unnormalized,descriptive,-0.19130434782608693,0.9505589414333672,0.4752794707166836,-0.201254587682501,0.8147335966650284,
C2,False,TracIn_E20_normalized,CHAMPION,0.44434782608695644,0.927024325224925,0.4635121626124625,0.4793270402900634,0.014800473665558403,False
C2,False,GradDot_E20_normalized,SECONDARY,0.3678260869565217,0.927024325224925,0.4635121626124625,0.39678148344950454,0.03849943540091518,False
C2,False,TracIn_E20_unnormalized,descriptive,0.5113043478260869,0.927024325224925,0.4635121626124625,0.5515544025255524,0.0053304449583610955,
C2,False,GradDot_E20_dmean,descriptive,0.29217391304347823,0.927024325224925,0.4635121626124625,0.3151739443003157,0.08296621813284714,
C2,False,IF_E20_normalized,descriptive,0.15826086956521737,0.927024325224925,0.4635121626124625,0.17071921982933766,0.23007445636405308,
C2,False,IF_E20_unnormalized,descriptive,-0.03565217391304347,0.927024325224925,0.4635121626124625,-0.03845872534616947,0.5656804768876926,
C2,False,TRAK_E20_normalized,descriptive,0.1826086956521739,0.927024325224925,0.4635121626124625,0.19698371518769733,0.19653749655614708,
C2,False,TRAK_E20_unnormalized,descriptive,0.19913043478260867,0.927024325224925,0.4635121626124625,0.21480605132372704,0.1754493565384439,
C3,False,TracIn_E20_normalized,CHAMPION,-0.30347826086956514,0.754694603676616,0.377347301838308,-0.4021206185801807,0.925295749812559,False
C3,False,GradDot_E20_normalized,SECONDARY,-0.07478260869565216,0.754694603676616,0.377347301838308,-0.09908989454984396,0.6358124192212229,False
C3,False,TracIn_E20_unnormalized,descriptive,-0.27652173913043476,0.754694603676616,0.377347301838308,-0.3664021682191905,0.9045695548305098,
C3,False,GradDot_E20_dmean,descriptive,-0.2826086956521739,0.754694603676616,0.377347301838308,-0.3744676247523173,0.9095603158403444,
C3,False,IF_E20_normalized,descriptive,0.19130434782608693,0.754694603676616,0.377347301838308,0.2534857767554148,0.18526640333497155,
C3,False,IF_E20_unnormalized,descriptive,-0.23130434782608694,0.754694603676616,0.377347301838308,-0.30648734825881974,0.8615910517686926,
C3,False,TRAK_E20_normalized,descriptive,-0.08347826086956521,0.754694603676616,0.377347301838308,-0.11061197531145374,0.6509196996606288,
C3,False,TRAK_E20_unnormalized,descriptive,-0.3217391304347825,0.754694603676616,0.377347301838308,-0.4263169881795612,0.9373802706675683,
C4,False,TracIn_E20_normalized,CHAMPION,0.2582608695652174,0.8839337292326178,0.4419668646163089,0.29217220819192535,0.1115216090658968,False
C4,False,GradDot_E20_normalized,SECONDARY,0.43043478260869555,0.8839337292326178,0.4419668646163089,0.4869536803198755,0.01788158044941236,False
C4,False,TracIn_E20_unnormalized,descriptive,0.35130434782608694,0.8839337292326178,0.4419668646163089,0.39743290272571663,0.046158627305053934,
C4,False,GradDot_E20_dmean,descriptive,0.21652173913043476,0.8839337292326178,0.4419668646163089,0.24495245737302832,0.15475994878115024,
C4,False,IF_E20_normalized,descriptive,-0.21826086956521737,0.8839337292326178,0.4419668646163089,-0.24691994699048234,0.8472228042077529,
C4,False,IF_E20_unnormalized,descriptive,-0.013043478260869565,0.8839337292326178,0.4419668646163089,-0.014756172130905321,0.5241176565998498,
C4,False,TRAK_E20_normalized,descriptive,-0.23739130434782607,0.8839337292326178,0.4419668646163089,-0.2685623327824768,0.8679925193930839,
C4,False,TRAK_E20_unnormalized,descriptive,-0.13130434782608694,0.8839337292326178,0.4419668646163089,-0.14854546611778022,0.7295905323003236,
C5,True,TracIn_E20_normalized,CHAMPION,0.3043478260869565,0.9380881188989534,0.4690440594494767,0.3244341549109199,0.07409385429314208,False
C5,True,GradDot_E20_normalized,SECONDARY,0.328695652173913,0.9380881188989534,0.4690440594494767,0.3503888873037935,0.05841137529435366,False
C5,True,TracIn_E20_unnormalized,descriptive,0.25217391304347825,0.9380881188989534,0.4690440594494767,0.26881687121190506,0.11726378546080976,
C5,True,GradDot_E20_dmean,descriptive,0.3904347826086956,0.9380881188989534,0.4690440594494767,0.41620267301429437,0.02962875484969943,
C5,True,IF_E20_normalized,descriptive,0.31913043478260866,0.9380881188989534,0.4690440594494767,0.34019238529230744,0.0642531394407114,
C5,True,IF_E20_unnormalized,descriptive,0.4104347826086956,0.9380881188989534,0.4690440594494767,0.43752263176558337,0.023177695621009596,
C5,True,TRAK_E20_normalized,descriptive,0.21478260869565213,0.9380881188989534,0.4690440594494767,0.22895781789427774,0.15675843075142185,
C5,True,TRAK_E20_unnormalized,descriptive,0.2217391304347826,0.9380881188989534,0.4690440594494767,0.23637345572081309,0.14885892873587975,
C6,False,TracIn_E20_normalized,CHAMPION,-0.12608695652173912,0.9605116377501426,0.4802558188750713,-0.13127061824787392,0.7214227961655157,False
