target,grain,arm,attributor,rho,ceiling,bar,ratio,p_onesided,alpha,PASS
C2,1,PRIMARY_champion,TracIn,0.2411764705882353,0.8369441277080957,0.41847206385404784,0.2881631671742267,0.18410330402131714,0.0125,False
C2,1,SECONDARY_p7_qualifier,TracIn,0.2411764705882353,0.8369441277080957,0.41847206385404784,0.2881631671742267,0.18410330402131714,0.00625,False
C2,3,PRIMARY_champion,TracIn,-0.19117647058823528,0.8369441277080957,0.41847206385404784,-0.2284220227600577,0.7609179935914858,0.0125,False
C2,3,SECONDARY_p7_qualifier,IF,0.22352941176470587,0.8369441277080957,0.41847206385404784,0.26707805738099055,0.20264917364137963,0.00625,False
C9,1,PRIMARY_champion,TracIn,0.0058823529411764705,0.8513513513513514,0.4256756756756757,0.006909430438842202,0.49137525220956757,0.0125,False
C9,1,SECONDARY_p7_qualifier,TracIn,0.0058823529411764705,0.8513513513513514,0.4256756756756757,0.006909430438842202,0.49137525220956757,0.00625,False
C9,5,PRIMARY_champion,TracIn,-0.16176470588235295,0.8513513513513514,0.4256756756756757,-0.1900093370681606,0.7252584282981535,0.0125,False
C9,5,SECONDARY_p7_qualifier,TracIn,-0.16176470588235295,0.8513513513513514,0.4256756756756757,-0.1900093370681606,0.7252584282981535,0.00625,False
