target,outcome,attributor,rho,ceiling_6seed,ratio,p_onesided,half_ceiling_bar,focal,PASS
C1,neg_plain_loss,IF,0.25565217391304346,0.9327641408751334,0.2740801910257686,0.11395917792752588,0.4663820704375667,True,False
C1,neg_plain_loss,TRAK,-0.07130434782608694,0.9327641408751334,-0.07644413491194904,0.6297126564116028,0.4663820704375667,True,False
C1,neg_plain_loss,TracIn,0.368695652173913,0.9327641408751334,0.39527211222763897,0.03812484423954127,0.4663820704375667,True,False
C1,logit_success,IF,-0.16615921537071862,0.5949362347123198,-0.27928911650685484,0.7811176006140869,0.2974681173561599,True,False
C1,logit_success,TRAK,0.10004350663682011,0.5949362347123198,0.1681583685774257,0.32092382403446146,0.2974681173561599,True,False
C1,logit_success,TracIn,-0.29143108455073685,0.5949362347123198,-0.4898526388994574,0.9164693887075699,0.2974681173561599,True,False
C1,neg_transport_loss,IF,0.22,0.9495798319327731,0.23168141592920355,0.15081018527392076,0.47478991596638653,True,False
C1,neg_transport_loss,TRAK,-0.1782608695652174,0.9495798319327731,-0.1877260484801847,0.7976853689640626,0.47478991596638653,True,False
C1,neg_transport_loss,TracIn,0.3304347826086956,0.9495798319327731,0.34797999230473253,0.05739235370527471,0.47478991596638653,True,False
C1,neg_interaction_loss,IF,-0.08782608695652173,0.9304812834224598,-0.09438780609695152,0.6583923653925974,0.4652406417112299,True,False
C1,neg_interaction_loss,TRAK,-0.1217391304347826,0.9304812834224598,-0.13083458270864567,0.7145322386555417,0.4652406417112299,True,False
C1,neg_interaction_loss,TracIn,0.2478260869565217,0.9304812834224598,0.2663418290854572,0.12148244351019474,0.4652406417112299,True,False
C2,neg_plain_loss,IF,0.16173913043478258,0.9115002366303833,0.17744277394013272,0.22510944242318542,0.45575011831519163,False,False
C2,neg_plain_loss,TRAK,0.049565217391304345,0.9115002366303833,0.05437762427197616,0.40904689480153544,0.45575011831519163,False,False
C2,neg_plain_loss,TracIn,0.46434782608695646,0.9115002366303833,0.5094324800216714,0.011129926756996847,0.45575011831519163,False,True
C2,logit_success,IF,0.23913043478260865,0.8869801929815564,0.26960064799054767,0.13021396840146346,0.4434900964907782,False,False
C2,logit_success,TRAK,-0.16869565217391302,0.8869801929815564,-0.19019100258242275,0.7846488691395094,0.4434900964907782,False,False
C2,logit_success,TracIn,0.05826086956521739,0.8869801929815564,0.06568452151042435,0.3934218080773674,0.4434900964907782,False,False
C2,neg_transport_loss,IF,0.13565217391304346,0.8534968346543043,0.15893693849255724,0.26368927095292805,0.42674841732715213,False,False
C2,neg_transport_loss,TRAK,0.03130434782608695,0.8534968346543043,0.03667775503674398,0.44227347782764753,0.42674841732715213,False,False
C2,neg_transport_loss,TracIn,0.5139130434782608,0.8534968346543043,0.6021264785198804,0.005101530546115006,0.42674841732715213,False,True
C2,neg_interaction_loss,IF,0.06434782608695652,0.9029857865114949,0.07126117270965193,0.38257696960044607,0.45149289325574743,False,False
C2,neg_interaction_loss,TRAK,-0.021739130434782605,0.9029857865114949,-0.02407472051001754,0.5401556162816863,0.45149289325574743,False,False
C2,neg_interaction_loss,TracIn,0.32956521739130434,0.9029857865114949,0.364972762931866,0.057900226444020375,0.45149289325574743,False,False
